CompoundName	TargetGene	PubchemCID	InKey	ClinicalPhase	MOA	DiseaseArea	Indication
A-804598	P2RX7	53325874	PQYCRDPLPKGSME-AWEZNQCLSA-N	Preclinical	purinergic receptor antagonist	NA	NA
A-839977	P2RX7	53325875	GMVNBKZQJFRFAR-UHFFFAOYSA-N	Preclinical	purinergic receptor antagonist	NA	NA
A-867744	CHRNA3	23642319	ABACVOXFUHDKNZ-UHFFFAOYSA-N	Preclinical	acetylcholine receptor allosteric modulator	NA	NA
A-867744	CHRNA4	23642319	ABACVOXFUHDKNZ-UHFFFAOYSA-N	Preclinical	acetylcholine receptor allosteric modulator	NA	NA
A-867744	CHRNA7	23642319	ABACVOXFUHDKNZ-UHFFFAOYSA-N	Preclinical	acetylcholine receptor allosteric modulator	NA	NA
A-887826	SCN10A	46919335	JPJGFWKHSMUKFO-UHFFFAOYSA-N	Preclinical	sodium channel blocker	NA	NA
A-922500	DGAT1	24768261	BOZRFEQDOFSZBV-DHIUTWEWSA-N	Preclinical	diacylglycerol O acyltransferase inhibitor	NA	NA
A-939572	SCD	24905400	DPYTYQFYDLYWHZ-UHFFFAOYSA-N	Preclinical	stearoyl-CoA desaturase inhibitor	NA	NA
A-967079	TRPA1	42641861	HKROEBDHHKMNBZ-CHBKHGQFSA-N	Preclinical	transient receptor potential channel antagonist	NA	NA
A-987306	ADORA1	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	AVPR1A	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	CCR1	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	CHRM1	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	CHRM2	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	CHRM3	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	CHRM4	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	DRD3	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	HTR1A	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	HTR1B	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	HTR2A	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	HTR2B	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	HTR3A	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
A-987306	TACR2	25109291	DJKJVWJQAVGLHJ-YPMHNXCESA-N	Preclinical	histamine receptor antagonist	NA	NA
AA-29504	GABRA1	23188887	SCOOTUMXCXKEAD-UHFFFAOYSA-N	Preclinical	GABA receptor positive allosteric modulator	NA	NA
AA-29504	GABRA4	23188887	SCOOTUMXCXKEAD-UHFFFAOYSA-N	Preclinical	GABA receptor positive allosteric modulator	NA	NA
AA-29504	GABRB3	23188887	SCOOTUMXCXKEAD-UHFFFAOYSA-N	Preclinical	GABA receptor positive allosteric modulator	NA	NA
abamectin	GABBR1	6858005	ZFUKERYTFURFGA-PVVXTEPVSA-N	Launched	benzodiazepine receptor agonist	infectious disease	gastrointestinal parasites
abamectin	GABBR2	6858005	ZFUKERYTFURFGA-PVVXTEPVSA-N	Launched	benzodiazepine receptor agonist	infectious disease	gastrointestinal parasites
abametapir	MMP9	15664	PTRATZCAGVBFIQ-UHFFFAOYSA-N	Phase 3	metalloproteinase inhibitor	NA	NA
abarelix	GNRHR	16131215	AIWRTTMUVOZGPW-HSPKUQOVSA-N	Phase 3	gonadotropin releasing factor hormone receptor antagonist	NA	NA
ABC-294640	SPHK2	NA	CAOTVXGYTWCKQE-BRNYJPRKSA-N	Phase 2	sphingosine kinase inhibitor	NA	NA
abemaciclib	CDK4	46220502	UZWDCWONPYILKI-UHFFFAOYSA-N	Launched	CDK inhibitor	oncology	breast cancer
abemaciclib	CDK6	46220502	UZWDCWONPYILKI-UHFFFAOYSA-N	Launched	CDK inhibitor	oncology	breast cancer
abiraterone	CYP11B1	132971	GZOSMCIZMLWJML-VJLLXTKPSA-N	Launched	androgen biosynthesis inhibitor	oncology	prostate cancer
abiraterone	CYP17A1	132971	GZOSMCIZMLWJML-VJLLXTKPSA-N	Launched	androgen biosynthesis inhibitor	oncology	prostate cancer
abiraterone-acetate	CYP17A1	9821849	UVIQSJCZCSLXRZ-UBUQANBQSA-N	Launched	androgen biosynthesis inhibitor	oncology	prostate cancer
ABT-239	HRH1	9818903	KFHYZKCRXNRKRC-MRXNPFEDSA-N	Phase 1	histamine receptor antagonist	NA	NA
ABT-239	HRH2	9818903	KFHYZKCRXNRKRC-MRXNPFEDSA-N	Phase 1	histamine receptor antagonist	NA	NA
ABT-239	HRH3	9818903	KFHYZKCRXNRKRC-MRXNPFEDSA-N	Phase 1	histamine receptor antagonist	NA	NA
ABT-491	PTAFR	154087	GDLNHSUSOZEAOR-UHFFFAOYSA-N	Phase 1	platelet activating factor receptor antagonist	NA	NA
ABT-639	CACNA1G	46851313	AGPIHNZOZNKRGT-CYBMUJFWSA-N	Phase 2	calcium channel blocker	NA	NA
ABT-639	CACNA1H	46851313	AGPIHNZOZNKRGT-CYBMUJFWSA-N	Phase 2	calcium channel blocker	NA	NA
ABT-639	CACNA1I	46851313	AGPIHNZOZNKRGT-CYBMUJFWSA-N	Phase 2	calcium channel blocker	NA	NA
ABT-702	ADK	1973	RQCXKDWOCUJWQZ-UHFFFAOYSA-N	Preclinical	adenosine kinase inhibitor	NA	NA
ABT-724	DRD4	5025739	FRPJGTNLZNXQEX-UHFFFAOYSA-N	Phase 2	dopamine receptor agonist	NA	NA
ABT-737	BCL2	11228183	"InChI=1S/C42H45ClN6O5S2/c1-46(2)23-22-35(30-55-37-9-4-3-5-10-37)44-40-21-20-38(28-41(40)49(51)52)56(53,54)45-42(50)32-14-18-36(19-15-32)48-26-24-47(25-27-48)29-33-8-6-7-11-39(33)31-12-16-34(43)17-13-31/h3-21,28,35,44H,22-27,29-30H2,1-2H3,(H,45,50)/t35-/m1/s1"	Phase 1/Phase 2	BCL inhibitor	NA	NA
ABT-737	BCL2L1	11228183	"InChI=1S/C42H45ClN6O5S2/c1-46(2)23-22-35(30-55-37-9-4-3-5-10-37)44-40-21-20-38(28-41(40)49(51)52)56(53,54)45-42(50)32-14-18-36(19-15-32)48-26-24-47(25-27-48)29-33-8-6-7-11-39(33)31-12-16-34(43)17-13-31/h3-21,28,35,44H,22-27,29-30H2,1-2H3,(H,45,50)/t35-/m1/s1"	Phase 1/Phase 2	BCL inhibitor	NA	NA
ABT-737	BCL2L2	11228183	"InChI=1S/C42H45ClN6O5S2/c1-46(2)23-22-35(30-55-37-9-4-3-5-10-37)44-40-21-20-38(28-41(40)49(51)52)56(53,54)45-42(50)32-14-18-36(19-15-32)48-26-24-47(25-27-48)29-33-8-6-7-11-39(33)31-12-16-34(43)17-13-31/h3-21,28,35,44H,22-27,29-30H2,1-2H3,(H,45,50)/t35-/m1/s1"	Phase 1/Phase 2	BCL inhibitor	NA	NA
ABT-751	TUBB	3035714	URCVCIZFVQDVPM-UHFFFAOYSA-N	Phase 2	tubulin polymerization inhibitor	NA	NA
AC-186	ESR2	71245042	HSMUKSLNDJOZQG-UHFFFAOYSA-N	Preclinical	estrogen receptor agonist	NA	NA
AC-261066	RARB	11530459	HSAOETBFVAWNRP-UHFFFAOYSA-N	Preclinical	retinoid receptor agonist	NA	NA
AC-264613	F2RL1	25108278	RQKXQCSEZPQBNZ-QSBCOWLBSA-N	Preclinical	PAR agonist	NA	NA
AC-55541	PARP2	129362181	UCUHFWIFSHROPY-SQEMJAKJSA-N	Preclinical	PARP inhibitor	NA	NA
AC-55649	RARA	1714884	HXBKPYIEQLLNBK-UHFFFAOYSA-N	Preclinical	retinoid receptor agonist	NA	NA
AC-55649	RARB	1714884	HXBKPYIEQLLNBK-UHFFFAOYSA-N	Preclinical	retinoid receptor agonist	NA	NA
AC-710	CSF1R	54760053	JVCWPUFNLFSKFS-UHFFFAOYSA-N	Preclinical	PDGFR tyrosine kinase receptor inhibitor	NA	NA
AC-710	FLT3	54760053	JVCWPUFNLFSKFS-UHFFFAOYSA-N	Preclinical	PDGFR tyrosine kinase receptor inhibitor	NA	NA
AC-710	KIT	54760053	JVCWPUFNLFSKFS-UHFFFAOYSA-N	Preclinical	PDGFR tyrosine kinase receptor inhibitor	NA	NA
AC-710	PDGFRA	54760053	JVCWPUFNLFSKFS-UHFFFAOYSA-N	Preclinical	PDGFR tyrosine kinase receptor inhibitor	NA	NA
AC-710	PDGFRB	54760053	JVCWPUFNLFSKFS-UHFFFAOYSA-N	Preclinical	PDGFR tyrosine kinase receptor inhibitor	NA	NA
AC-7954-(+/-)	UTS2R	10937426	HIVBATDUVFEJFZ-IBGZPJMESA-N	Preclinical	urotensin receptor agonist	NA	NA
acalabrutinib	BTK	71226662	WDENQIQQYWYTPO-IBGZPJMESA-N	Launched	Bruton's tyrosine kinase (BTK) inhibitor	hematologic malignancy	mantle cell lymphoma (MCL)
acalisib	PIK3CB	11618268	DOCINCLJNAXZQF-LBPRGKRZSA-N	Phase 1	PI3K inhibitor	NA	NA
acalisib	PIK3CD	11618268	DOCINCLJNAXZQF-LBPRGKRZSA-N	Phase 1	PI3K inhibitor	NA	NA
acamprosate	GABRA1	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRA2	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRA3	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRA4	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRA5	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRA6	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRB1	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRB2	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRB3	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRD	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRE	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRG1	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRG2	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRG3	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRP	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GABRQ	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRIN1	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRIN2A	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRIN2B	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRIN2C	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRIN2D	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRIN3A	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRIN3B	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acamprosate	GRM5	71158	AFCGFAGUEYAMAO-UHFFFAOYSA-N	Launched	glutamate receptor antagonist	neurology/psychiatry	abstinence from alcohol
acarbose	AMY2A	444254	XUFXOAAUWZOOIT-SXARVLRPSA-N	Launched	glucosidase inhibitor	endocrinology	diabetes mellitus
acarbose	MGAM	444254	XUFXOAAUWZOOIT-SXARVLRPSA-N	Launched	glucosidase inhibitor	endocrinology	diabetes mellitus
ACDPP	GRM5	16759169	RNGRUHWJJPTYNR-UHFFFAOYSA-N	Preclinical	glutamate receptor antagonist	NA	NA
acebutolol	ADRB1	657184	GOEMGAFJFRBGGG-UHFFFAOYSA-N	Launched	adrenergic receptor antagonist	cardiology	hypertension|ventricular arrhythmias
acecainide	SCN5A	4342	KEECCEWTUVWFCV-UHFFFAOYSA-N	Phase 3	polarization inhibitor	NA	NA
aceclidine	CHRM1	1273944	WRJPSSPFHGNBMG-VIFPVBQESA-N	Launched	acetylcholine receptor agonist	ophthalmology	glaucoma
aceclidine	CHRM2	1273944	WRJPSSPFHGNBMG-VIFPVBQESA-N	Launched	acetylcholine receptor agonist	ophthalmology	glaucoma
aceclidine	CHRM3	1273944	WRJPSSPFHGNBMG-VIFPVBQESA-N	Launched	acetylcholine receptor agonist	ophthalmology	glaucoma
aceclidine	CHRM4	1273944	WRJPSSPFHGNBMG-VIFPVBQESA-N	Launched	acetylcholine receptor agonist	ophthalmology	glaucoma
aceclidine	CHRM5	1273944	WRJPSSPFHGNBMG-VIFPVBQESA-N	Launched	acetylcholine receptor agonist	ophthalmology	glaucoma
aceclofenac	PTGS2	71771	MNIPYSSQXLZQLJ-UHFFFAOYSA-N	Launched	prostanoid receptor antagonist	rheumatology	rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|periarthritis|lumbago|ischiadynia
acefylline	ADORA1	69550	HCYFGRCYSCXKNQ-UHFFFAOYSA-N	Launched	adenosine receptor agonist	pulmonary	asthma
acemetacin	PTGS1	1981	FSQKKOOTNAMONP-UHFFFAOYSA-N	Launched	cyclooxygenase inhibitor	rheumatology	osteoarthritis
acemetacin	PTGS2	1981	FSQKKOOTNAMONP-UHFFFAOYSA-N	Launched	cyclooxygenase inhibitor	rheumatology	osteoarthritis
aceneuramic-acid	CES1	445063	SQVRNKJHWKZAKO-PFQGKNLYSA-N	Phase 3		NA	NA
aceneuramic-acid	SELE	445063	SQVRNKJHWKZAKO-PFQGKNLYSA-N	Phase 3		NA	NA
aceneuramic-acid	SELP	445063	SQVRNKJHWKZAKO-PFQGKNLYSA-N	Phase 3		NA	NA
acenocoumarol	VKORC1	54683745	VABCILAOYCMVPS-HNNXBMFYSA-N	Launched	vitamin K antagonist	hematology	deep vein thrombosis (DVT)
acepromazine	ADRA1A	6077	NOSIYYJFMPDDSA-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	sedative
acepromazine	ADRA1B	6077	NOSIYYJFMPDDSA-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	sedative
acepromazine	DRD1	6077	NOSIYYJFMPDDSA-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	sedative
acepromazine	DRD2	6077	NOSIYYJFMPDDSA-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	sedative
acepromazine	HTR1A	6077	NOSIYYJFMPDDSA-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	sedative
acepromazine	HTR2A	6077	NOSIYYJFMPDDSA-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	sedative
acetazolamide	AQP1	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetazolamide	CA1	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetazolamide	CA12	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetazolamide	CA14	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetazolamide	CA2	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetazolamide	CA3	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetazolamide	CA4	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetazolamide	CA7	1986	BZKPWHYZMXOIDC-UHFFFAOYSA-N	Launched	carbonic anhydrase inhibitor	ophthalmology	glaucoma
acetohexamide	ABCC8	1989	VGZSUPCWNCWDAN-UHFFFAOYSA-N	Launched	ATP channel blocker	endocrinology	diabetes mellitus
acetohexamide	KCNJ1	1989	VGZSUPCWNCWDAN-UHFFFAOYSA-N	Launched	ATP channel blocker	endocrinology	diabetes mellitus
acetohexamide	KCNJ10	1989	VGZSUPCWNCWDAN-UHFFFAOYSA-N	Launched	ATP channel blocker	endocrinology	diabetes mellitus
acetohexamide	KCNJ11	1989	VGZSUPCWNCWDAN-UHFFFAOYSA-N	Launched	ATP channel blocker	endocrinology	diabetes mellitus
acetohydroxamic-acid	MMP12	1990	RRUDCFGSUDOHDG-UHFFFAOYSA-N	Launched	urease inhibitor	infectious disease	urinary tract infections
acetophenazine	DRD1	17676	WNTYBHLDCKXEOT-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	psychosis
acetophenazine	DRD2	17676	WNTYBHLDCKXEOT-UHFFFAOYSA-N	Launched	dopamine receptor antagonist	neurology/psychiatry	psychosis
acetyl-farnesyl-cysteine	PPARG	6438381	XTURYZYJYQRJDO-BNAHBJSTSA-N	Launched	methyltransferase inhibitor	dermatology	acne vulgaris (AV)
acetyl-11-keto-beta-boswellic-acid	HSD11B1	NA	HMMGKOVEOFBCAU-OQJDUFEHSA-N	Phase 2	lipoxygenase inhibitor	NA	NA
acetyl-11-keto-beta-boswellic-acid	HSD11B2	NA	HMMGKOVEOFBCAU-OQJDUFEHSA-N	Phase 2	lipoxygenase inhibitor	NA	NA
acetylcholine	ACHE	187	OIPILFWXSMYKGL-UHFFFAOYSA-N	Launched	acetylcholine receptor agonist	neurology/psychiatry|gastroenterology|pulmonary	drowsiness|fatigue|headache|indigestion|chest congestion
acetylcholine	CHRM1	187	OIPILFWXSMYKGL-UHFFFAOYSA-N	Launched	acetylcholine receptor agonist	neurology/psychiatry|gastroenterology|pulmonary	drowsiness|fatigue|headache|indigestion|chest congestion
acetylcholine	CHRM2	187	OIPILFWXSMYKGL-UHFFFAOYSA-N	Launched	acetylcholine receptor agonist	neurology/psychiatry|gastroenterology|pulmonary	drowsiness|fatigue|headache|indigestion|chest congestion
acetylcholine	CHRM3	187	OIPILFWXSMYKGL-UHFFFAOYSA-N	Launched	acetylcholine receptor agonist	neurology/psychiatry|gastroenterology|pulmonary	drowsiness|fatigue|headache|indigestion|chest congestion
acetylcholine	CHRM4	187	OIPILFWXSMYKGL-UHFFFAOYSA-N	Launched	acetylcholine receptor agonist	neurology/psychiatry|gastroenterology|pulmonary	drowsiness|fatigue|headache|indigestion|chest congestion
