"","cluster","target_gene","approved_name","TruePos","FalsePos","FalseNeg","TrueNeg","TotalCmpdsTested","OddsRatio","p_val","significant"
"17",1,"CHRM1","cholinergic receptor muscarinic 1",8,92,19,1710,1829,7.82608695652174,5.64756909574875e-05,TRUE
"18",1,"CHRM2","cholinergic receptor muscarinic 2",5,71,22,1731,1829,5.54097311139565,0.00427449083326318,TRUE
"19",1,"CHRM3","cholinergic receptor muscarinic 3",6,78,21,1724,1829,6.31501831501831,0.00106772775603494,TRUE
"20",1,"CHRM4","cholinergic receptor muscarinic 4",6,68,21,1734,1829,7.28571428571429,0.000538353769503435,TRUE
"21",1,"CHRM5","cholinergic receptor muscarinic 5",7,51,20,1751,1829,12.0166666666667,1.21035280876016e-05,TRUE
"22",1,"CYP1A2","cytochrome P450 family 1 subfamily A member 2",6,92,21,1710,1829,5.31055900621118,0.00239929291390014,TRUE
"23",1,"CYP2C19","cytochrome P450 family 2 subfamily C member 19",3,77,24,1725,1829,2.80032467532468,0.111030294306395,FALSE
"24",1,"CYP2D6","cytochrome P450 family 2 subfamily D member 6",17,142,10,1660,1829,19.8732394366197,1.60420503126108e-12,TRUE
"25",1,"CYP3A4","cytochrome P450 family 3 subfamily A member 4",3,94,24,1708,1829,2.27127659574468,0.169197297281587,FALSE
"26",1,"DRD1","dopamine receptor D1",8,48,19,1754,1829,15.3859649122807,6.56610961030591e-07,TRUE
"27",1,"DRD2","dopamine receptor D2",10,92,17,1710,1829,10.9335038363171,7.16348950849559e-07,TRUE
"28",1,"DRD3","dopamine receptor D3",7,72,20,1730,1829,8.40972222222222,9.48950604925677e-05,TRUE
"29",1,"DRD4","dopamine receptor D4",4,51,23,1751,1829,5.97101449275362,0.00768083442310249,TRUE
"30",1,"DRD5","dopamine receptor D5",3,35,24,1767,1829,6.31071428571429,0.0171616816736757,FALSE
"31",1,"GFER","growth factor, augmenter of liver regeneration",1,4,26,1798,1829,17.2884615384615,0.0717397166214631,FALSE
"32",1,"GSTP1","glutathione S-transferase pi 1",1,4,26,1798,1829,17.2884615384615,0.0717397166214631,FALSE
"33",1,"HRH1","histamine receptor H1",13,88,14,1714,1829,18.086038961039,2.17608417482114e-10,TRUE
"34",1,"HRH2","histamine receptor H2",1,15,26,1787,1829,4.58205128205128,0.21254105835736,FALSE
"35",1,"HRH4","histamine receptor H4",2,9,25,1793,1829,15.9377777777778,0.0106364831122304,FALSE
"36",1,"HTR1A","5-hydroxytryptamine receptor 1A",4,79,23,1723,1829,3.79306549257017,0.0311737829408013,FALSE
"37",1,"HTR1B","5-hydroxytryptamine receptor 1B",2,42,25,1760,1829,3.35238095238095,0.136024445956278,FALSE
"38",1,"HTR1D","5-hydroxytryptamine receptor 1D",2,41,25,1761,1829,3.43609756097561,0.130996226566304,FALSE
"39",1,"HTR1E","5-hydroxytryptamine receptor 1E",1,23,26,1779,1829,2.97491638795987,0.301774923291014,FALSE
"40",1,"HTR1F","5-hydroxytryptamine receptor 1F",1,15,26,1787,1829,4.58205128205128,0.21254105835736,FALSE
"41",1,"HTR2A","5-hydroxytryptamine receptor 2A",14,104,13,1698,1829,17.5828402366864,1.00006824781628e-10,TRUE
"42",1,"HTR2B","5-hydroxytryptamine receptor 2B",11,71,16,1731,1829,16.7614436619718,5.46411099685174e-09,TRUE
"43",1,"HTR2C","5-hydroxytryptamine receptor 2C",14,75,13,1727,1829,24.7979487179487,1.79281942976429e-12,TRUE
"44",1,"HTR5A","5-hydroxytryptamine receptor 5A",1,15,26,1787,1829,4.58205128205128,0.21254105835736,FALSE
"45",1,"HTR6","5-hydroxytryptamine receptor 6",10,40,17,1762,1829,25.9117647058824,5.45330969854401e-10,TRUE
"46",1,"HTR7","5-hydroxytryptamine receptor 7",5,45,22,1757,1829,8.87373737373737,0.000638931618552182,TRUE
"47",1,"KCNA1","potassium voltage-gated channel subfamily A member 1",1,9,26,1793,1829,7.66239316239316,0.138510178449568,FALSE
"48",1,"KCNC1","potassium voltage-gated channel subfamily C member 1",1,10,26,1792,1829,6.89230769230769,0.151297547983302,FALSE
"49",1,"KCND2","potassium voltage-gated channel subfamily D member 2",1,9,26,1793,1829,7.66239316239316,0.138510178449568,FALSE
"50",1,"KCND3","potassium voltage-gated channel subfamily D member 3",1,12,26,1790,1829,5.73717948717949,0.176326170237994,FALSE
"51",1,"KCNH2","potassium voltage-gated channel subfamily H member 2",12,118,15,1684,1829,11.4169491525424,7.01895916320097e-08,TRUE
"52",1,"KCNJ5","potassium inwardly rectifying channel subfamily J member 5",2,9,25,1793,1829,15.9377777777778,0.0106364831122304,FALSE
"53",1,"KCNJ6","potassium inwardly rectifying channel subfamily J member 6",2,13,25,1789,1829,11.0092307692308,0.0195808934942555,FALSE
"54",1,"KCNK2","potassium two pore domain channel subfamily K member 2",2,12,25,1790,1829,11.9333333333333,0.0171248958732008,FALSE
"55",1,"KCNQ2","potassium voltage-gated channel subfamily Q member 2",1,8,26,1794,1829,8.625,0.125537381359851,FALSE
"56",1,"KCNQ3","potassium voltage-gated channel subfamily Q member 3",1,9,26,1793,1829,7.66239316239316,0.138510178449568,FALSE
"57",1,"NFKB1","nuclear factor kappa B subunit 1",1,2,26,1800,1829,34.6153846153846,0.0436594729908639,FALSE
"58",1,"NTRK1","neurotrophic receptor tyrosine kinase 1",1,2,26,1800,1829,34.6153846153846,0.0436594729908639,FALSE
"59",1,"NTRK2","neurotrophic receptor tyrosine kinase 2",1,1,26,1801,1829,69.2692307692308,0.029314365085727,FALSE
"60",1,"OPRD1","opioid receptor delta 1",2,13,25,1789,1829,11.0092307692308,0.0195808934942555,FALSE
"61",1,"OPRK1","opioid receptor kappa 1",2,23,25,1779,1829,6.18782608695652,0.0511101866110014,FALSE
"62",1,"OPRM1","opioid receptor mu 1",2,24,25,1778,1829,5.92666666666667,0.0548733998141151,FALSE
"63",1,"ORM1","orosomucoid 1",1,1,26,1801,1829,69.2692307692308,0.029314365085727,FALSE
"64",1,"ORM2","orosomucoid 2",1,1,26,1801,1829,69.2692307692308,0.029314365085727,FALSE
"65",1,"POMC","proopiomelanocortin",1,0,26,1802,1829,Inf,0.0147621651175511,FALSE
"66",1,"PRKAA1","protein kinase AMP-activated catalytic subunit alpha 1",1,3,26,1799,1829,23.0641025641026,0.0578003241569355,FALSE
"67",1,"SCN2A","sodium voltage-gated channel alpha subunit 2",1,33,26,1769,1829,2.06177156177156,0.399689494145188,FALSE
"68",1,"SCN5A","sodium voltage-gated channel alpha subunit 5",3,61,24,1741,1829,3.56762295081967,0.065746340324089,FALSE
"69",1,"SCN9A","sodium voltage-gated channel alpha subunit 9",1,28,26,1774,1829,2.43681318681319,0.35251219146795,FALSE
"70",1,"SIGMAR1","sigma non-opioid intracellular receptor 1",11,82,16,1720,1829,14.4207317073171,2.16928806738896e-08,TRUE
"71",1,"SLC29A4","solute carrier family 29 member 4",1,8,26,1794,1829,8.625,0.125537381359851,FALSE
"72",1,"SLC6A2","solute carrier family 6 member 2",7,62,20,1740,1829,9.82258064516129,3.89798590814368e-05,TRUE
"73",1,"SLC6A3","solute carrier family 6 member 3",4,52,23,1750,1829,5.85284280936455,0.00818830925071974,TRUE
"74",1,"SLC6A4","solute carrier family 6 member 4",9,88,18,1714,1829,9.73863636363636,4.8584981767242e-06,TRUE
"75",1,"SLC6A9","solute carrier family 6 member 9",1,1,26,1801,1829,69.2692307692308,0.029314365085727,FALSE
"76",1,"SLCO1B1","solute carrier organic anion transporter family member 1B1",1,18,26,1784,1829,3.81196581196581,0.247220131844864,FALSE
"77",1,"SLCO1B3","solute carrier organic anion transporter family member 1B3",1,13,26,1789,1829,5.29289940828402,0.188572422112209,FALSE
"78",1,"SMPD1","sphingomyelin phosphodiesterase 1",1,2,26,1800,1829,34.6153846153846,0.0436594729908639,FALSE
"79",1,"TACR1","tachykinin receptor 1",1,2,26,1800,1829,34.6153846153846,0.0436594729908639,FALSE
"80",1,"TMEM97","transmembrane protein 97",1,8,26,1794,1829,8.625,0.125537381359851,FALSE
"81",1,"TRPC5","transient receptor potential cation channel subfamily C member 5",1,10,26,1792,1829,6.89230769230769,0.151297547983302,FALSE
"82",2,"ABCB1","ATP binding cassette subfamily B member 1",3,22,10,1794,1829,24.4636363636364,0.000590100937363055,TRUE
"83",2,"ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group)",1,7,12,1809,1829,21.5357142857143,0.0555708477021734,FALSE
"84",2,"ADORA3","adenosine A3 receptor",1,22,12,1794,1829,6.79545454545455,0.152156747961499,FALSE
"85",2,"ADRA1A","adrenoceptor alpha 1A",2,81,11,1735,1829,3.89450056116723,0.114817106153135,FALSE
"86",2,"ADRA1B","adrenoceptor alpha 1B",2,58,11,1758,1829,5.51097178683386,0.0654527800840489,FALSE
"87",2,"ADRA1D","adrenoceptor alpha 1D",2,70,11,1746,1829,4.53506493506494,0.0901001547549678,FALSE
"88",2,"ADRA2A","adrenoceptor alpha 2A",2,80,11,1736,1829,3.94545454545455,0.112497029936785,FALSE
"89",2,"ADRA2B","adrenoceptor alpha 2B",2,77,11,1739,1829,4.10625737898465,0.105620539611437,FALSE
"90",2,"ADRA2C","adrenoceptor alpha 2C",2,74,11,1742,1829,4.28009828009828,0.0988755372011465,FALSE
"91",2,"ADRB1","adrenoceptor beta 1",3,48,10,1768,1829,11.05,0.00479801068748213,TRUE
"92",2,"ADRB2","adrenoceptor beta 2",1,51,12,1765,1829,2.88398692810458,0.313542120617283,FALSE
"93",2,"ADRB3","adrenoceptor beta 3",1,20,12,1796,1829,7.48333333333333,0.139828091896573,FALSE
"94",2,"CACNA1B","calcium voltage-gated channel subunit alpha1 B",1,7,12,1809,1829,21.5357142857143,0.0555708477021734,FALSE
"95",2,"CACNA1C","calcium voltage-gated channel subunit alpha1 C",1,17,12,1799,1829,8.81862745098039,0.121024539938746,FALSE
"96",2,"CACNA1D","calcium voltage-gated channel subunit alpha1 D",1,7,12,1809,1829,21.5357142857143,0.0555708477021734,FALSE
"97",2,"CACNA1G","calcium voltage-gated channel subunit alpha1 G",1,12,12,1804,1829,12.5277777777778,0.0888400767433867,FALSE
"98",2,"CACNA1H","calcium voltage-gated channel subunit alpha1 H",3,10,10,1806,1829,54.18,7.71022711457338e-05,TRUE
"99",2,"CACNA1I","calcium voltage-gated channel subunit alpha1 I",1,11,12,1805,1829,13.6742424242424,0.0822740684272357,FALSE
"100",2,"CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2",2,2,11,1814,1829,164.909090909091,0.000277710755921137,TRUE
"101",2,"CALM1","calmodulin 1",1,11,12,1805,1829,13.6742424242424,0.0822740684272357,FALSE
"102",2,"CHRM1","cholinergic receptor muscarinic 1",1,99,12,1717,1829,1.4452861952862,0.519735491101001,FALSE
"103",2,"CHRM2","cholinergic receptor muscarinic 2",1,75,12,1741,1829,1.93444444444444,0.425116273458115,FALSE
"104",2,"CHRM3","cholinergic receptor muscarinic 3",1,83,12,1733,1829,1.73995983935743,0.458414913325122,FALSE
"105",2,"CHRM4","cholinergic receptor muscarinic 4",1,73,12,1743,1829,1.98972602739726,0.416501420491513,FALSE
"106",2,"CHRM5","cholinergic receptor muscarinic 5",1,57,12,1759,1829,2.57163742690058,0.343168852102885,FALSE
"107",2,"CYP11B1","cytochrome P450 family 11 subfamily B member 1",1,5,12,1811,1829,30.1833333333333,0.0419519664012213,FALSE
"108",2,"CYP11B2","cytochrome P450 family 11 subfamily B member 2",1,5,12,1811,1829,30.1833333333333,0.0419519664012213,FALSE
"109",2,"CYP17A1","cytochrome P450 family 17 subfamily A member 1",1,8,12,1808,1829,18.8333333333333,0.0623130657032013,FALSE
"110",2,"CYP2C9","cytochrome P450 family 2 subfamily C member 9",3,41,10,1775,1829,12.9878048780488,0.00314117219818421,TRUE
"111",2,"CYP3A4","cytochrome P450 family 3 subfamily A member 4",2,95,11,1721,1829,3.29377990430622,0.148595874299149,FALSE
"112",2,"DRD1","dopamine receptor D1",2,54,11,1762,1829,5.93265993265993,0.0578648090657548,FALSE
"113",2,"DRD2","dopamine receptor D2",3,99,10,1717,1829,5.2030303030303,0.0319981948350488,FALSE
"114",2,"DRD3","dopamine receptor D3",2,77,11,1739,1829,4.10625737898465,0.105620539611437,FALSE
"115",2,"DRD4","dopamine receptor D4",2,53,11,1763,1829,6.04802744425386,0.0560216207310171,FALSE
"116",2,"DRD5","dopamine receptor D5",2,36,11,1780,1829,8.98989898989899,0.028387375213676,FALSE
"117",2,"EBP","EBP cholestenol delta-isomerase",2,16,11,1800,1829,20.4545454545455,0.00669421328264066,TRUE
"118",2,"EGFR","epidermal growth factor receptor",2,13,11,1803,1829,25.2167832167832,0.00464975569518182,TRUE
"119",2,"ERBB2","erb-b2 receptor tyrosine kinase 2",2,4,11,1812,1829,82.3636363636364,0.000688715920434573,TRUE
"120",2,"ERBB4","erb-b2 receptor tyrosine kinase 4",1,3,12,1813,1829,50.3611111111111,0.0281520051477131,FALSE
"121",2,"GAK","cyclin G associated kinase",1,3,12,1813,1829,50.3611111111111,0.0281520051477131,FALSE
"122",2,"GLRA1","glycine receptor alpha 1",1,20,12,1796,1829,7.48333333333333,0.139828091896573,FALSE
"123",2,"H1F0",NA,1,7,12,1809,1829,21.5357142857143,0.0555708477021734,FALSE
"124",2,"HRH1","histamine receptor H1",2,99,11,1717,1829,3.15335169880624,0.158634356590476,FALSE
"125",2,"HTR1A","5-hydroxytryptamine receptor 1A",2,81,11,1735,1829,3.89450056116723,0.114817106153135,FALSE
"126",2,"HTR1B","5-hydroxytryptamine receptor 1B",1,43,12,1773,1829,3.43604651162791,0.272119579923813,FALSE
"127",2,"HTR1D","5-hydroxytryptamine receptor 1D",1,42,12,1774,1829,3.51984126984127,0.266782611248691,FALSE
"128",2,"HTR1E","5-hydroxytryptamine receptor 1E",1,23,12,1793,1829,6.4963768115942,0.158259717106848,FALSE
"129",2,"HTR2A","5-hydroxytryptamine receptor 2A",2,116,11,1700,1829,2.66457680250784,0.202738277690321,FALSE
"130",2,"HTR2B","5-hydroxytryptamine receptor 2B",2,80,11,1736,1829,3.94545454545455,0.112497029936785,FALSE
"131",2,"HTR2C","5-hydroxytryptamine receptor 2C",2,87,11,1729,1829,3.61337513061651,0.129011651032386,FALSE
"132",2,"HTR3A","5-hydroxytryptamine receptor 3A",1,28,12,1788,1829,5.32142857142857,0.188170883969912,FALSE
"133",2,"HTR6","5-hydroxytryptamine receptor 6",2,48,11,1768,1829,6.6969696969697,0.0471461545311297,FALSE
"134",2,"HTR7","5-hydroxytryptamine receptor 7",2,48,11,1768,1829,6.6969696969697,0.0471461545311297,FALSE
"135",2,"KCNA10","potassium voltage-gated channel subfamily A member 10",1,8,12,1808,1829,18.8333333333333,0.0623130657032013,FALSE
"136",2,"KCNA7","potassium voltage-gated channel subfamily A member 7",2,15,11,1801,1829,21.830303030303,0.00597435567036147,TRUE
"137",2,"KCNH2","potassium voltage-gated channel subfamily H member 2",7,123,6,1693,1829,16.0582655826558,9.37182469376044e-06,TRUE
"138",2,"KCNJ6","potassium inwardly rectifying channel subfamily J member 6",1,14,12,1802,1829,10.7261904761905,0.101842193171116,FALSE
"139",2,"KCNK10","potassium two pore domain channel subfamily K member 10",1,4,12,1812,1829,37.75,0.0350747579877566,FALSE
"140",2,"KCNK2","potassium two pore domain channel subfamily K member 2",2,12,11,1804,1829,27.3333333333333,0.00404600899538677,TRUE
"141",2,"PTGS1","prostaglandin-endoperoxide synthase 1",1,65,12,1751,1829,2.24487179487179,0.380836571044202,FALSE
"142",2,"PTGS2","prostaglandin-endoperoxide synthase 2",1,66,12,1750,1829,2.20959595959596,0.385402155035368,FALSE
"143",2,"RIPK2","receptor interacting serine/threonine kinase 2",1,2,12,1814,1829,75.5833333333333,0.0211834315497649,FALSE
"144",2,"RYR2","ryanodine receptor 2",1,5,12,1811,1829,30.1833333333333,0.0419519664012213,FALSE
"145",2,"SCN1A","sodium voltage-gated channel alpha subunit 1",1,34,12,1782,1829,4.36764705882353,0.222768264192191,FALSE
"146",2,"SCN3A","sodium voltage-gated channel alpha subunit 3",1,31,12,1785,1829,4.79838709677419,0.205643424698753,FALSE
"147",2,"SCN5A","sodium voltage-gated channel alpha subunit 5",3,61,10,1755,1829,8.63114754098361,0.00909518816291443,FALSE
"148",2,"SIGMAR1","sigma non-opioid intracellular receptor 1",2,91,11,1725,1829,3.44655344655345,0.138716481353931,FALSE
"149",2,"SLC29A1","solute carrier family 29 member 1 (Augustine blood group)",1,2,12,1814,1829,75.5833333333333,0.0211834315497649,FALSE
"150",2,"SLC6A2","solute carrier family 6 member 2",1,68,12,1748,1829,2.1421568627451,0.394440236298444,FALSE
"151",2,"SLC6A3","solute carrier family 6 member 3",1,55,12,1761,1829,2.66818181818182,0.333427050528242,FALSE
"152",2,"SLC6A4","solute carrier family 6 member 4",2,95,11,1721,1829,3.29377990430622,0.148595874299149,FALSE
"153",2,"TACR1","tachykinin receptor 1",1,2,12,1814,1829,75.5833333333333,0.0211834315497649,FALSE
"154",3,"NR3C1","nuclear receptor subfamily 3 group C member 1",3,56,0,1770,1829,Inf,3.1932021767555e-05,TRUE
"155",3,"NR3C2","nuclear receptor subfamily 3 group C member 2",1,15,2,1811,1829,60.3666666666667,0.026029050287688,FALSE
"156",3,"PGR","progesterone receptor",2,23,1,1803,1829,156.782608695652,0.00053385381988576,TRUE
"157",3,"SLCO1B3","solute carrier organic anion transporter family member 1B3",1,13,2,1813,1829,69.7307692307692,0.022800419272976,FALSE
"158",4,"ADAM17","ADAM metallopeptidase domain 17",1,0,35,1793,1829,Inf,0.0196828868234009,FALSE
"159",4,"AKR1C1","aldo-keto reductase family 1 member C1",1,10,35,1783,1829,5.09428571428571,0.19690080030944,FALSE
"160",4,"AKR1C3","aldo-keto reductase family 1 member C3",1,11,35,1782,1829,4.62857142857143,0.212803754758758,FALSE
"161",4,"ANXA1","annexin A1",2,0,34,1793,1829,Inf,0.000376860524518067,TRUE
"162",4,"AR","androgen receptor",1,34,35,1759,1829,1.4781512605042,0.50459861757823,FALSE
"163",4,"CYP2C9","cytochrome P450 family 2 subfamily C member 9",1,43,35,1750,1829,1.16279069767442,0.587383996784702,FALSE
"164",4,"CYP2D6","cytochrome P450 family 2 subfamily D member 6",1,158,35,1635,1829,0.295660036166365,0.963384850008781,FALSE
"165",4,"CYP3A4","cytochrome P450 family 3 subfamily A member 4",1,96,35,1697,1829,0.505059523809524,0.862107855797291,FALSE
"166",4,"CYP3A5","cytochrome P450 family 3 subfamily A member 5",1,9,35,1784,1829,5.66349206349206,0.180685673450853,FALSE
"167",4,"ESR1","estrogen receptor 1",1,46,35,1747,1829,1.08509316770186,0.611862327659651,FALSE
"168",4,"GLUL","glutamate-ammonia ligase",1,3,35,1790,1829,17.047619047619,0.0764983105101694,FALSE
"169",4,"HSD11B1","hydroxysteroid 11-beta dehydrogenase 1",1,6,35,1787,1829,8.50952380952381,0.130107211755699,FALSE
"170",4,"IL6","interleukin 6",1,1,35,1792,1829,51.2,0.0389889131222835,FALSE
"171",4,"NCOA1","nuclear receptor coactivator 1",1,1,35,1792,1829,51.2,0.0389889131222835,FALSE
"172",4,"NOS2","nitric oxide synthase 2",2,6,34,1787,1829,17.5196078431373,0.00979273171312884,FALSE
"173",4,"NR0B1","nuclear receptor subfamily 0 group B member 1",1,3,35,1790,1829,17.047619047619,0.0764983105101694,FALSE
"174",4,"NR1I2","nuclear receptor subfamily 1 group I member 2",1,19,35,1774,1829,2.66766917293233,0.329468327776119,FALSE
"175",4,"NR3C1","nuclear receptor subfamily 3 group C member 1",35,24,1,1769,1829,2579.79166666667,7.32207457321683e-57,TRUE
"176",4,"NR3C2","nuclear receptor subfamily 3 group C member 2",6,10,30,1783,1829,35.66,2.62383765606111e-07,TRUE
"177",4,"PGR","progesterone receptor",3,22,33,1771,1829,7.31818181818182,0.0119663565604821,FALSE
"178",4,"PLA2G1B","phospholipase A2 group IB",4,6,32,1787,1829,37.2291666666667,2.44543236209339e-05,TRUE
"179",4,"PLA2G4A","phospholipase A2 group IVA",1,1,35,1792,1829,51.2,0.0389889131222835,FALSE
"180",4,"SERPINA6","serpin family A member 6",9,9,27,1784,1829,66.0740740740741,6.55224868920826e-12,TRUE
"181",4,"SHBG","sex hormone binding globulin",3,28,33,1765,1829,5.73051948051948,0.0215710118706899,FALSE
"182",4,"SLC22A3","solute carrier family 22 member 3",1,4,35,1789,1829,12.7785714285714,0.0947153301384618,FALSE
"183",4,"SMO","smoothened, frizzled class receptor",1,1,35,1792,1829,51.2,0.0389889131222835,FALSE
"184",4,"TRPC5","transient receptor potential cation channel subfamily C member 5",1,10,35,1783,1829,5.09428571428571,0.19690080030944,FALSE
"185",5,"ACACB","acetyl-CoA carboxylase beta",1,3,10,1815,1829,60.5,0.0238601061172405,FALSE
"186",5,"ALOX5","arachidonate 5-lipoxygenase",1,17,10,1801,1829,10.5941176470588,0.103352198421005,FALSE
"187",5,"CHRM1","cholinergic receptor muscarinic 1",1,99,10,1719,1829,1.73636363636364,0.462181365881988,FALSE
"188",5,"CHRM2","cholinergic receptor muscarinic 2",1,75,10,1743,1829,2.324,0.373844932809058,FALSE
"189",5,"CHRM3","cholinergic receptor muscarinic 3",1,83,10,1735,1829,2.09036144578313,0.404656183441037,FALSE
"190",5,"GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1",1,34,10,1784,1829,5.24705882352941,0.19194617821376,FALSE
"191",5,"GABRA2","gamma-aminobutyric acid type A receptor subunit alpha2",1,20,10,1798,1829,8.99,0.119600774530956,FALSE
"192",5,"GABRA3","gamma-aminobutyric acid type A receptor subunit alpha3",1,21,10,1797,1829,8.55714285714286,0.124957185747859,FALSE
"193",5,"GABRB2","gamma-aminobutyric acid type A receptor subunit beta2",1,23,10,1795,1829,7.80434782608696,0.135581228211705,FALSE
"194",5,"GABRB3","gamma-aminobutyric acid type A receptor subunit beta3",1,29,10,1789,1829,6.16896551724138,0.166753669538625,FALSE
"195",5,"GABRG2","gamma-aminobutyric acid type A receptor subunit gamma2",1,25,10,1793,1829,7.172,0.146087878914002,FALSE
"196",5,"KCNH1","potassium voltage-gated channel subfamily H member 1",1,12,10,1806,1829,15.05,0.075664407978235,FALSE
"197",5,"KCNH2","potassium voltage-gated channel subfamily H member 2",1,129,10,1689,1829,1.3093023255814,0.556623012982501,FALSE
"198",5,"KCNJ12","potassium inwardly rectifying channel subfamily J member 12",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"199",5,"KCNK2","potassium two pore domain channel subfamily K member 2",1,13,10,1805,1829,13.8846153846154,0.0812633570488517,FALSE
"200",5,"MT-ND1","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"201",5,"MT-ND2","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"202",5,"MT-ND3","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"203",5,"MT-ND4","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4",1,2,10,1816,1829,90.8,0.0179441067603756,FALSE
"204",5,"MT-ND4L","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"205",5,"MT-ND5","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"206",5,"MT-ND6","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"207",5,"NDUFA1","NADH:ubiquinone oxidoreductase subunit A1",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"208",5,"NDUFA10","NADH:ubiquinone oxidoreductase subunit A10",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"209",5,"NDUFA11","NADH:ubiquinone oxidoreductase subunit A11",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"210",5,"NDUFA12","NADH:ubiquinone oxidoreductase subunit A12",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"211",5,"NDUFA13","NADH:ubiquinone oxidoreductase subunit A13",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"212",5,"NDUFA2","NADH:ubiquinone oxidoreductase subunit A2",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"213",5,"NDUFA3","NADH:ubiquinone oxidoreductase subunit A3",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"214",5,"NDUFA4","NDUFA4 mitochondrial complex associated",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"215",5,"NDUFA4L2","NDUFA4 mitochondrial complex associated like 2",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"216",5,"NDUFA5","NADH:ubiquinone oxidoreductase subunit A5",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"217",5,"NDUFA6","NADH:ubiquinone oxidoreductase subunit A6",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"218",5,"NDUFA7","NADH:ubiquinone oxidoreductase subunit A7",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"219",5,"NDUFA8","NADH:ubiquinone oxidoreductase subunit A8",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"220",5,"NDUFA9","NADH:ubiquinone oxidoreductase subunit A9",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
"221",5,"NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1",1,1,10,1817,1829,181.7,0.0119955303145409,FALSE
