Id,properties.name,properties._n_name,properties.n_name,modularity_class
71975,,EXCESSIVE PRODUCTION OF SALIVA|EXCESSIVE SALIVATION|HYPERSALIVATION|MOUTH WATERING|OVERSALIVATION|PTYALISM|WATERY MOUTH,"['EXCESSIVE PRODUCTION OF SALIVA', 'EXCESSIVE SALIVATION', 'HYPERSALIVATION', 'MOUTH WATERING', 'OVERSALIVATION', 'PTYALISM', 'WATERY MOUTH']",0
95798,,BEHAVIORAL ABNORMALITY|BEHAVIORAL CHANGES|BEHAVIORAL DISORDERS|BEHAVIORAL DISTURBANCES|BEHAVIORAL PROBLEMS|BEHAVIORAL/PSYCHIATRIC ABNORMALITIES|BEHAVIOURAL/PSYCHIATRIC ABNORMALITY|PSYCHIATRIC DISORDERS|PSYCHIATRIC DISTURBANCES|BEHAVIORAL SYMPTOMS,"['BEHAVIORAL ABNORMALITY', 'BEHAVIORAL CHANGES', 'BEHAVIORAL DISORDERS', 'BEHAVIORAL DISTURBANCES', 'BEHAVIORAL PROBLEMS', 'BEHAVIORAL/PSYCHIATRIC ABNORMALITIES', 'BEHAVIOURAL/PSYCHIATRIC ABNORMALITY', 'PSYCHIATRIC DISORDERS', 'PSYCHIATRIC DISTURBANCES', 'BEHAVIORAL SYMPTOMS']",31
175819,,"FREQUENT RESPIRATORY INFECTIONS|MULTIPLE RESPIRATORY INFECTIONS|RECURRENT RESPIRATORY INFECTIONS|RESPIRATORY INFECTIONS, RECURRENT|SUSCEPTIBILITY TO RESPIRATORY INFECTIONS","['FREQUENT RESPIRATORY INFECTIONS', 'MULTIPLE RESPIRATORY INFECTIONS', 'RECURRENT RESPIRATORY INFECTIONS', 'RESPIRATORY INFECTIONS, RECURRENT', 'SUSCEPTIBILITY TO RESPIRATORY INFECTIONS']",0
186315,,ABNORMALITY OF THE VOICE|VOICE ABNORMALITY,"['ABNORMALITY OF THE VOICE', 'VOICE ABNORMALITY']",31
98590,,HYPERTONICITY|INCREASED MUSCLE TONE|SPASTICITY AND RIGIDITY OF MUSCLES|MUSCLE HYPERTONIA|HYPERTONIA,"['HYPERTONICITY', 'INCREASED MUSCLE TONE', 'SPASTICITY AND RIGIDITY OF MUSCLES', 'MUSCLE HYPERTONIA', 'HYPERTONIA']",12
110288,,DOUBLE VISION|DIPLOPIA,"['DOUBLE VISION', 'DIPLOPIA']",21
129196,,ABNORMALITY OF SIGHT|ABNORMALITY OF VISION|VISION ISSUE,"['ABNORMALITY OF SIGHT', 'ABNORMALITY OF VISION', 'VISION ISSUE']",0
69415,,ABNORMAL EYE|ABNORMALITY OF THE EYE|EYE DISEASE,"['ABNORMAL EYE', 'ABNORMALITY OF THE EYE', 'EYE DISEASE']",0
91006,,PROGRESSIVE HEARING LOSS|PROGRESSIVE HEARING IMPAIRMENT,"['PROGRESSIVE HEARING LOSS', 'PROGRESSIVE HEARING IMPAIRMENT']",0
83080,,CLUMSINESS,['CLUMSINESS'],12
169676,,HYPOAESTHESIA|HYPOESTHESIA|SENSORY IMPAIRMENT,"['HYPOAESTHESIA', 'HYPOESTHESIA', 'SENSORY IMPAIRMENT']",14
5381283,,,,0
117518,,PARTIAL LOSS OF FIELD OF VISION|VISUAL FIELD DEFECTS|VISUAL FIELD DEFECT,"['PARTIAL LOSS OF FIELD OF VISION', 'VISUAL FIELD DEFECTS', 'VISUAL FIELD DEFECT']",0
160753,,SPECIFIC LEARNING DISABILITY,SPECIFIC LEARNING DISABILITY,31
77875,,FUNCTIONAL MOTOR PROBLEMS|FUNCTIONAL MOTOR DEFICIT,"['FUNCTIONAL MOTOR PROBLEMS', 'FUNCTIONAL MOTOR DEFICIT']",19
132212,,PROGRESSIVE SPASTIC PARAPARESIS,PROGRESSIVE SPASTIC PARAPARESIS,0
197824,,LEG MUSCLE STIFFNESS,LEG MUSCLE STIFFNESS,0
139550,,LACK OF BLADDER CONTROL DUE TO NERVOUS SYSTEM INJURY|NEUROGENIC BLADDER,"['LACK OF BLADDER CONTROL DUE TO NERVOUS SYSTEM INJURY', 'NEUROGENIC BLADDER']",0
95245,,AGGRESSION|AGGRESSIVE BEHAVIOR|AGGRESSIVE BEHAVIOUR|AGGRESSIVENESS|PHYSICAL AGGRESSION,"['AGGRESSION', 'AGGRESSIVE BEHAVIOR', 'AGGRESSIVE BEHAVIOUR', 'AGGRESSIVENESS', 'PHYSICAL AGGRESSION']",31
92777,,ABNORMALITY OF ADRENAL PHYSIOLOGY,ABNORMALITY OF ADRENAL PHYSIOLOGY,0
99139,,WEAKNESS OF ONE SIDE OF BODY|HEMIPARESIS,"['WEAKNESS OF ONE SIDE OF BODY', 'HEMIPARESIS']",31
116164,,HIGH BLOOD CORTICOTROPIN LEVELS|INCREASED CIRCULATING ACTH LEVEL|INCREASED PLASMA ACTH,"['HIGH BLOOD CORTICOTROPIN LEVELS', 'INCREASED CIRCULATING ACTH LEVEL', 'INCREASED PLASMA ACTH']",0
162965,,INAPPROPRIATE SEXUAL BEHAVIOR,['INAPPROPRIATE SEXUAL BEHAVIOR'],0
169604,,INABILITY TO MOVE|PARALYSIS,"['INABILITY TO MOVE', 'PARALYSIS']",0
5267106,,CEREBRAL ADRENOLEUKODYSTROPHY|CALD,"['CEREBRAL ADRENOLEUKODYSTROPHY', 'CALD']",0
2597636,,,,0
2596787,,,,0
5346826,,,,0
5346828,,,,0
5346830,,,,0
5346832,,,,0
5346834,,,,0
5346836,,,,0
5346838,,,,0
5346840,,,,0
5346842,,,,0
5346844,,,,0
5346846,,,,0
5346848,,,,0
5346850,,,,0
5346852,,,,0
5346854,,,,0
5346856,,,,0
5377557,,,,0
5377559,,,,0
5380723,,,,0
5381069,,,,0
5384791,,,,0
5391303,,,,0
18888,,DISORDERS WITH DEFICIENCY OF A SINGLE PEROXISOMAL ENZYME,DISORDERS WITH DEFICIENCY OF A SINGLE PEROXISOMAL ENZYME,0
18886,,"DISORDER OF PEROXISOMAL ALPHA-, BETA- AND OMEGA-OXIDATION","DISORDER OF PEROXISOMAL ALPHA-, BETA- AND OMEGA-OXIDATION",0
18874,,PEROXISOMAL BETA-OXIDATION DISORDER,PEROXISOMAL BETA-OXIDATION DISORDER,0
181434,,HYDROCEPHALY|NONSYNDROMAL HYDROCEPHALUS|TOO MUCH CEREBROSPINAL FLUID IN THE BRAIN|HYDROCEPHALUS,"['HYDROCEPHALY', 'NONSYNDROMAL HYDROCEPHALUS', 'TOO MUCH CEREBROSPINAL FLUID IN THE BRAIN', 'HYDROCEPHALUS']",12
124978,,DECREASED BOWEL SOUNDS|HYPOACTIVE BOWEL SOUNDS,"['DECREASED BOWEL SOUNDS', 'HYPOACTIVE BOWEL SOUNDS']",24
136330,,DYSAESTHESIA|DYSESTHESIAS|DYSESTHESIA,"['DYSAESTHESIA', 'DYSESTHESIAS', 'DYSESTHESIA']",24
4819150,,"TUMOR GRADE 1, GENERAL GRADING SYSTEM|G1|G1 GRADE|G1 STAGE|G1: WELL DIFFERENTIATED|GRADE 1|GRADE I|LOW GRADE|TUMOR GRADE G1|WELL DIFFERENTIATED","['TUMOR GRADE 1, GENERAL GRADING SYSTEM', 'G1', 'G1 GRADE', 'G1 STAGE', 'G1: WELL DIFFERENTIATED', 'GRADE 1', 'GRADE I', 'LOW GRADE', 'TUMOR GRADE G1', 'WELL DIFFERENTIATED']",24
170275,,DECREASED ARM STRENGTH|WEAK ARM|UPPER LIMB MUSCLE WEAKNESS,"['DECREASED ARM STRENGTH', 'WEAK ARM', 'UPPER LIMB MUSCLE WEAKNESS']",19
110470,,CEREBELLAR OEDEMA|EDEMA OF THE CEREBELLUM|OEDEMA OF THE CEREBELLUM|CEREBELLAR EDEMA,"['CEREBELLAR OEDEMA', 'EDEMA OF THE CEREBELLUM', 'OEDEMA OF THE CEREBELLUM', 'CEREBELLAR EDEMA']",24
132060,,CEREBRAL CYSTIC MALFORMATION|INTRACRANIAL CYSTIC LESION,"['CEREBRAL CYSTIC MALFORMATION', 'INTRACRANIAL CYSTIC LESION']",24
82654,,DIZZY SPELL|DIZZINESS|VERTIGO,"['DIZZY SPELL', 'DIZZINESS', 'VERTIGO']",24
5306618,,PERIPHERAL HEMANGIOBLASTOMA,PERIPHERAL HEMANGIOBLASTOMA,24
63747,,MENINGOMYELOCELE|SPINA BIFIDA CYSTICA|MYELOMENINGOCELE,"['MENINGOMYELOCELE', 'SPINA BIFIDA CYSTICA', 'MYELOMENINGOCELE']",12
66796,,SPLIT SPINE|SPINA BIFIDA,"['SPLIT SPINE', 'SPINA BIFIDA']",12
154622,,FLUID-FILLED CYST IN SPINAL CORD|SYRINX|SYRINGOMYELIA,"['FLUID-FILLED CYST IN SPINAL CORD', 'SYRINX', 'SYRINGOMYELIA']",12
99743,,LOW OR WEAK MUSCLE TONE|MUSCLE HYPOTONIA|MUSCULAR HYPOTONIA,"['LOW OR WEAK MUSCLE TONE', 'MUSCLE HYPOTONIA', 'MUSCULAR HYPOTONIA']",12
101982,,OCCIPITAL NEURALGIA,OCCIPITAL NEURALGIA,12
158694,,INSPIRATORY STRIDOR,INSPIRATORY STRIDOR,12
205835,,LIMB MUSCLE WEAKNESS|LIMB WEAKNESS,"['LIMB MUSCLE WEAKNESS', 'LIMB WEAKNESS']",12
63203,,BULBAR SIGNS,BULBAR SIGNS,12
82993,,CERVICAL MYELOPATHY,CERVICAL MYELOPATHY,12
170738,,GRAY MATTER HETEROTOPIAS|GREY MATTER HETEROTOPIA|HETEROTOPIA|HETEROTOPIAS|NEURONAL HETEROTOPIA|GRAY MATTER HETEROTOPIA,"['GRAY MATTER HETEROTOPIAS', 'GREY MATTER HETEROTOPIA', 'HETEROTOPIA', 'HETEROTOPIAS', 'NEURONAL HETEROTOPIA', 'GRAY MATTER HETEROTOPIA']",12
188982,,OPISTHOTONOS|OPISTHOTONUS,"['OPISTHOTONOS', 'OPISTHOTONUS']",12
143163,,FAMILIAL PREDISPOSITION|MULTIFACTORIAL INHERITANCE,"['FAMILIAL PREDISPOSITION', 'MULTIFACTORIAL INHERITANCE']",12
132995,,BLUE DISCOLORATION OF THE SKIN|CYANOSIS,"['BLUE DISCOLORATION OF THE SKIN', 'CYANOSIS']",12
205036,,TROUBLE BREATHING|DYSPNEA,"['TROUBLE BREATHING', 'DYSPNEA']",27
129478,,PAUSES IN BREATHING WHILE SLEEPING|SLEEP APNOEA|SLEEP APNEA,"['PAUSES IN BREATHING WHILE SLEEPING', 'SLEEP APNOEA', 'SLEEP APNEA']",27
160866,,MUSCLE WEAKNESS|MUSCULAR WEAKNESS,"['MUSCLE WEAKNESS', 'MUSCULAR WEAKNESS']",27
16351,,AMYOTROPHIC LATERAL SCLEROSIS TYPE 3|ALS3|AMYOTROPHIC LATERAL SCLEROSIS 3,"['AMYOTROPHIC LATERAL SCLEROSIS TYPE 3', 'ALS3', 'AMYOTROPHIC LATERAL SCLEROSIS 3']",27
154583,,MUSCLE CRAMPS|MUSCLE SPASM,"['MUSCLE CRAMPS', 'MUSCLE SPASM']",27
150878,,"GENERALIZED WEAKNESS|MUSCLE WEAKNESS, DIFFUSE|MUSCLE WEAKNESS, GENERALIZED|GENERALIZED MUSCLE WEAKNESS","['GENERALIZED WEAKNESS', 'MUSCLE WEAKNESS, DIFFUSE', 'MUSCLE WEAKNESS, GENERALIZED', 'GENERALIZED MUSCLE WEAKNESS']",27
130260,,"AMYOTROPHY|AMYOTROPHY INVOLVING THE EXTREMITIES|MUSCLE ATROPHY|MUSCLE ATROPHY, NEUROGENIC|MUSCLE DEGENERATION|MUSCLE HYPOTROPHY|MUSCLE WASTING|MUSCULAR ATROPHY|NEUROGENIC MUSCLE ATROPHY|NEUROGENIC MUSCLE ATROPHY, ESPECIALLY IN THE LOWER LIMBS|NEUROGENIC MUSCULAR ATROPHY|SKELETAL MUSCLE ATROPHY","['AMYOTROPHY', 'AMYOTROPHY INVOLVING THE EXTREMITIES', 'MUSCLE ATROPHY', 'MUSCLE ATROPHY, NEUROGENIC', 'MUSCLE DEGENERATION', 'MUSCLE HYPOTROPHY', 'MUSCLE WASTING', 'MUSCULAR ATROPHY', 'NEUROGENIC MUSCLE ATROPHY', 'NEUROGENIC MUSCLE ATROPHY, ESPECIALLY IN THE LOWER LIMBS', 'NEUROGENIC MUSCULAR ATROPHY', 'SKELETAL MUSCLE ATROPHY']",27
17957,,"JUVENILE AMYOTROPHIC LATERAL SCLEROSIS|AMYOTROPHIC LATERAL SCLEROSIS, JUVENILE|JALS|JUVENILE CHARCOT DISEASE|JUVENILE LOU GEHRIG DISEASE","['JUVENILE AMYOTROPHIC LATERAL SCLEROSIS', 'AMYOTROPHIC LATERAL SCLEROSIS, JUVENILE', 'JALS', 'JUVENILE CHARCOT DISEASE', 'JUVENILE LOU GEHRIG DISEASE']",27
78508,,ANTERIOR HORN CELL LOSS|DEGENERATION OF ALPHA-MOTOR NEURONS IN ANTERIOR HORN CELLS OF THE SPINAL CORD|DEGENERATION OF SPINAL CORD ANTERIOR HORN CELLS|LOSS OF SPINAL CORD ANTERIOR HORN CELLS|PROGRESSIVE LOSS OF ANTERIOR HORN CELLS|SPINAL CORD ANTERIOR HORN CELL DEGENERATION|DEGENERATION OF ANTERIOR HORN CELLS,"['ANTERIOR HORN CELL LOSS', 'DEGENERATION OF ALPHA-MOTOR NEURONS IN ANTERIOR HORN CELLS OF THE SPINAL CORD', 'DEGENERATION OF SPINAL CORD ANTERIOR HORN CELLS', 'LOSS OF SPINAL CORD ANTERIOR HORN CELLS', 'PROGRESSIVE LOSS OF ANTERIOR HORN CELLS', 'SPINAL CORD ANTERIOR HORN CELL DEGENERATION', 'DEGENERATION OF ANTERIOR HORN CELLS']",27
166446,,MOTOR NEURON DEGENERATION|MOTOR NEURON ATROPHY,"['MOTOR NEURON DEGENERATION', 'MOTOR NEURON ATROPHY']",27
83060,,DEGENERATION OF LATERAL CORTICOSPINAL TRACTS|DEGENERATION OF THE LATERAL CORTICOSPINAL TRACTS,"['DEGENERATION OF LATERAL CORTICOSPINAL TRACTS', 'DEGENERATION OF THE LATERAL CORTICOSPINAL TRACTS']",27
16348,,AMYOTROPHIC LATERAL SCLEROSIS TYPE 7|ALS7|AMYOTROPHIC LATERAL SCLEROSIS 7,"['AMYOTROPHIC LATERAL SCLEROSIS TYPE 7', 'ALS7', 'AMYOTROPHIC LATERAL SCLEROSIS 7']",27
5387123,,,,27
182459,,DECREASED SALIVARY FLOW|DRY MOUTH|DRY MOUTH SYNDROME|REDUCED SALIVATION|XEROSTOMIA,"['DECREASED SALIVARY FLOW', 'DRY MOUTH', 'DRY MOUTH SYNDROME', 'REDUCED SALIVATION', 'XEROSTOMIA']",27
160420,,ABNORMAL RESPIRATION|FUNCTIONAL RESPIRATORY ABNORMALITY|RESPIRATORY PROBLEM,"['ABNORMAL RESPIRATION', 'FUNCTIONAL RESPIRATORY ABNORMALITY', 'RESPIRATORY PROBLEM']",27
143736,,RESPIRATORY FAILURE,['RESPIRATORY FAILURE'],27
136319,,PAIN,['PAIN'],27
128455,,FATIGABLE WEAKNESS OF BULBAR MUSCLES,FATIGABLE WEAKNESS OF BULBAR MUSCLES,27
128667,,FATIGABLE WEAKNESS OF SWALLOWING MUSCLES,FATIGABLE WEAKNESS OF SWALLOWING MUSCLES,27
128647,,FATIGABLE WEAKNESS OF RESPIRATORY MUSCLES,FATIGABLE WEAKNESS OF RESPIRATORY MUSCLES,27
95385,,AGITATION,AGITATION,27
87456,,LARYNGOSPASM,LARYNGOSPASM,27
2595574,,,,27
5343842,,,,27
5343844,,,,27
5340002,,,,27
5354604,,,,27
5364954,,,,27
5344652,,,,21
5380891,,,,21
5384379,,,,21
5348738,,,,27
5357104,,,,27
5357106,,,,27
5357108,,,,27
5350954,,,,27
5350960,,,,27
5350958,,,,27
5350956,,,,27
5350962,,,,27
5350964,,,,27
5350966,,,,27
5353112,,,,27
5353114,,,,27
5354756,,,,27
5352600,,,,27
5352608,,,,27
5352606,,,,27
5352604,,,,27
5352602,,,,27
5352610,,,,27
5352612,,,,27
5352614,,,,27
5352616,,,,27
5370936,,,,27
5353280,,,,27
5353282,,,,27
5353284,,,,27
5353286,,,,27
5357928,,,,27
5353508,,,,27
5373315,,,,27
5373313,,,,27
5373323,,,,27
5373325,,,,27
5375057,,,,27
5353802,,,,27
5369662,,,,27
5356086,,,,27
5356088,,,,27
5356162,,,,27
5356164,,,,27
5358212,,,,27
5358214,,,,27
5358216,,,,27
5358220,,,,27
5358222,,,,27
5358870,,,,27
5373263,,,,27
5367552,,,,27
5388279,,,,27
5365258,,,,27
5365262,,,,27
5365260,,,,27
5376953,,,,27
5388637,,,,27
5365564,,,,27
5365574,,,,27
5365572,,,,27
5365570,,,,27
5365568,,,,27
5365566,,,,27
5365576,,,,27
5365578,,,,27
5365582,,,,27
5366900,,,,27
5366902,,,,27
5368784,,,,27
5366496,,,,27
5366504,,,,27
5366502,,,,27
5366500,,,,27
5366498,,,,27
5366506,,,,27
5366508,,,,27
5366510,,,,27
5366512,,,,27
5366514,,,,27
5366516,,,,27
5366518,,,,27
5366520,,,,27
5366524,,,,27
5366526,,,,27
5366528,,,,27
5366530,,,,27
5366532,,,,27
5366534,,,,27
5366536,,,,27
5366538,,,,27
5366540,,,,27
5366542,,,,27
5366544,,,,27
5366546,,,,27
5366548,,,,27
5366550,,,,27
5366552,,,,27
5366554,,,,27
5373771,,,,27
5373773,,,,27
5378087,,,,27
5378089,,,,27
5367084,,,,27
5367086,,,,27
5367088,,,,27
5367090,,,,27
19366,,LATE-ONSET FAMILIAL ALZHEIMER DISEASE,LATE-ONSET FAMILIAL ALZHEIMER DISEASE,6
79848,,DIMINISHED MOVEMENT,['DIMINISHED MOVEMENT'],19
158795,,ABNORMAL MOTOR NERVE CONDUCTION VELOCITY,ABNORMAL MOTOR NERVE CONDUCTION VELOCITY,19
107396,,LOW SELF ESTEEM,LOW SELF ESTEEM,19
88009,,SWOLLEN THROAT|PHARYNGITIS,"['SWOLLEN THROAT', 'PHARYNGITIS']",19
205399,,NECK STIFFNESS|STIFF NECK,"['NECK STIFFNESS', 'STIFF NECK']",19
121996,,INFLAMMATION OF SPINAL CORD|MYELITIS,"['INFLAMMATION OF SPINAL CORD', 'MYELITIS']",38
108563,,ABNORMAL MUSCLE MORPHOLOGY|ABNORMALITY OF MUSCLE MORPHOLOGY|ABNORMALLY SHAPED MUSCLE|ISSUE WITH MUSCLE STRUCTURE|ABNORMAL SKELETAL MUSCLE MORPHOLOGY,"['ABNORMAL MUSCLE MORPHOLOGY', 'ABNORMALITY OF MUSCLE MORPHOLOGY', 'ABNORMALLY SHAPED MUSCLE', 'ISSUE WITH MUSCLE STRUCTURE', 'ABNORMAL SKELETAL MUSCLE MORPHOLOGY']",19
130018,,MUSCLE FLACCIDITY,MUSCLE FLACCIDITY,19
116670,,MUSCLE HYPOPLASIA|POORLY DEVELOPED SKELETAL MUSCULATURE|UNDERDEVELOPED MUSCLE|HYPOPLASIA OF THE MUSCULATURE,"['MUSCLE HYPOPLASIA', 'POORLY DEVELOPED SKELETAL MUSCULATURE', 'UNDERDEVELOPED MUSCLE', 'HYPOPLASIA OF THE MUSCULATURE']",19
186353,,DECREASED ABILITY TO EXERCISE|INABILITY TO EXERCISE|POOR EXERCISE TOLERANCE|EXERCISE INTOLERANCE,"['DECREASED ABILITY TO EXERCISE', 'INABILITY TO EXERCISE', 'POOR EXERCISE TOLERANCE', 'EXERCISE INTOLERANCE']",19
150917,,MUSCLE ACHE|MUSCLE PAIN|MYALGIAS|MYALGIA,"['MUSCLE ACHE', 'MUSCLE PAIN', 'MYALGIAS', 'MYALGIA']",31
147125,,ARTHRALGIAS|JOINT PAIN|ARTHRITIC PAIN|JOINT PAINS|ARTHRALGIA,"['ARTHRALGIAS', 'JOINT PAIN', 'ARTHRITIC PAIN', 'JOINT PAINS', 'ARTHRALGIA']",19
208742,,ANOREXIA,['ANOREXIA'],19
132025,,NAUSEA,['NAUSEA'],38
130369,,FEVER|HYPERTHERMIA|PYREXIA,"['FEVER', 'HYPERTHERMIA', 'PYREXIA']",17
159851,,BRISK REFLEXES,BRISK REFLEXES,12
63081,,HYPERKINESIA|HYPERKINESIS|MUSCLE SPASMS|HYPERKINETIC MOVEMENTS,"['HYPERKINESIA', 'HYPERKINESIS', 'MUSCLE SPASMS', 'HYPERKINETIC MOVEMENTS']",19
119782,,INABILITY TO WALK|NON-AMBULATORY,"['INABILITY TO WALK', 'NON-AMBULATORY']",17
117070,,PARALYTIC ILEUS,PARALYTIC ILEUS,19
163845,,DECREASED IMMUNE FUNCTION|IMMUNE DEFICIENCY|IMMUNODEFICIENCY,"['DECREASED IMMUNE FUNCTION', 'IMMUNE DEFICIENCY', 'IMMUNODEFICIENCY']",19
165786,,PARESTHESIAS|PINS AND NEEDLES FEELING|TINGLING|PARESTHESIA,"['PARESTHESIAS', 'PINS AND NEEDLES FEELING', 'TINGLING', 'PARESTHESIA']",14
167066,,RESPIRATORY DISTRESS NECESSITATING MECHANICAL VENTILATION|RESPIRATORY DISTRESS REQUIRING ENDOTRACHEAL INTUBATION|RESPIRATORY DISTRESS REQUIRING MECHANICAL VENTILATION|RESPIRATORY FAILURE REQUIRING ASSISTED VENTILATION,"['RESPIRATORY DISTRESS NECESSITATING MECHANICAL VENTILATION', 'RESPIRATORY DISTRESS REQUIRING ENDOTRACHEAL INTUBATION', 'RESPIRATORY DISTRESS REQUIRING MECHANICAL VENTILATION', 'RESPIRATORY FAILURE REQUIRING ASSISTED VENTILATION']",19
170514,,CRANIAL NERVE PALSIES|CRANIAL NERVE PALSY|CRANIAL NERVE PARESIS|CRANIAL NERVE PARALYSIS,"['CRANIAL NERVE PALSIES', 'CRANIAL NERVE PALSY', 'CRANIAL NERVE PARESIS', 'CRANIAL NERVE PARALYSIS']",3
94224,,HYPOPLASTIC TONSILS|TONSILLAR HYPOPLASIA|ABSENT TONSILS,"['HYPOPLASTIC TONSILS', 'TONSILLAR HYPOPLASIA', 'ABSENT TONSILS']",19
189025,,IMPAIRMENT OF ACTIVITIES OF DAILY LIVING,IMPAIRMENT OF ACTIVITIES OF DAILY LIVING,19
99630,,"COMA|COMA, UNSPECIFIED","['COMA', 'COMA, UNSPECIFIED']",17
97987,,CONFUSION|DISORIENTATION|EASILY CONFUSED|MENTAL DISORIENTATION,"['CONFUSION', 'DISORIENTATION', 'EASILY CONFUSED', 'MENTAL DISORIENTATION']",31
74094,,HYPOVOLEMIC SHOCK,HYPOVOLEMIC SHOCK,19
81038,,DIFFICULTY IN WALKING|DIFFICULTY WALKING|WALKING DISABILITY,"['DIFFICULTY IN WALKING', 'DIFFICULTY WALKING', 'WALKING DISABILITY']",3
79739,,HAND TREMOR|TREMOR OF HAND|TREMOR OF HANDS|TREMORS IN HANDS,"['HAND TREMOR', 'TREMOR OF HAND', 'TREMOR OF HANDS', 'TREMORS IN HANDS']",12
110894,,DYSCHROMATOPSIA WITH RED-GREEN CONFUSION|RED GREEN COLOR BLINDNESS|RED/GREEN COLOR VISION DEFECT|RED-GREEN DYSCHROMATOPSIA,"['DYSCHROMATOPSIA WITH RED-GREEN CONFUSION', 'RED GREEN COLOR BLINDNESS', 'RED/GREEN COLOR VISION DEFECT', 'RED-GREEN DYSCHROMATOPSIA']",12
83547,,AKINESIA,AKINESIA,21
128833,,DYSGRAPHIA,DYSGRAPHIA,3
5344482,,,,12
5344484,,,,12
5367720,,,,12
136356,,ALLODYNIA,ALLODYNIA,14
73792,,CLUSTER HEADACHE|CLUSTER HEADACHE SYNDROME,"['CLUSTER HEADACHE', 'CLUSTER HEADACHE SYNDROME']",14
5283160,,ABNORMAL FIFTH CRANIAL NERVE PHYSIOLOGY,ABNORMAL FIFTH CRANIAL NERVE PHYSIOLOGY,14
64284,,PROBLEMS SPEAKING|POOR SPEECH|DIFFICULTY SPEAKING,"['PROBLEMS SPEAKING', 'POOR SPEECH', 'DIFFICULTY SPEAKING']",14
169431,,EPISODIC PAROXYSMAL ANXIETY,EPISODIC PAROXYSMAL ANXIETY,14
