Id,modularity_class,properties.name,properties._n_name,properties.n_name
169676,1,,HYPOAESTHESIA|HYPOESTHESIA|SENSORY IMPAIRMENT,"['HYPOAESTHESIA', 'HYPOESTHESIA', 'SENSORY IMPAIRMENT']"
5381283,1,,,
117518,1,,PARTIAL LOSS OF FIELD OF VISION|VISUAL FIELD DEFECTS|VISUAL FIELD DEFECT,"['PARTIAL LOSS OF FIELD OF VISION', 'VISUAL FIELD DEFECTS', 'VISUAL FIELD DEFECT']"
132212,1,,PROGRESSIVE SPASTIC PARAPARESIS,PROGRESSIVE SPASTIC PARAPARESIS
197824,1,,LEG MUSCLE STIFFNESS,LEG MUSCLE STIFFNESS
139550,1,,LACK OF BLADDER CONTROL DUE TO NERVOUS SYSTEM INJURY|NEUROGENIC BLADDER,"['LACK OF BLADDER CONTROL DUE TO NERVOUS SYSTEM INJURY', 'NEUROGENIC BLADDER']"
92777,1,,ABNORMALITY OF ADRENAL PHYSIOLOGY,ABNORMALITY OF ADRENAL PHYSIOLOGY
116164,1,,HIGH BLOOD CORTICOTROPIN LEVELS|INCREASED CIRCULATING ACTH LEVEL|INCREASED PLASMA ACTH,"['HIGH BLOOD CORTICOTROPIN LEVELS', 'INCREASED CIRCULATING ACTH LEVEL', 'INCREASED PLASMA ACTH']"
162965,1,,INAPPROPRIATE SEXUAL BEHAVIOR,['INAPPROPRIATE SEXUAL BEHAVIOR']
5267106,1,,CEREBRAL ADRENOLEUKODYSTROPHY|CALD,"['CEREBRAL ADRENOLEUKODYSTROPHY', 'CALD']"
2597636,1,,,
2596787,1,,,
5346826,1,,,
5346828,1,,,
5346830,1,,,
5346832,1,,,
5346834,1,,,
5346836,1,,,
5346838,1,,,
5346840,1,,,
5346842,1,,,
5346844,1,,,
5346846,1,,,
5346848,1,,,
5346850,1,,,
5346852,1,,,
5346854,1,,,
5346856,1,,,
5377557,1,,,
5377559,1,,,
5380723,1,,,
5381069,1,,,
5384791,1,,,
5391303,1,,,
18888,1,,DISORDERS WITH DEFICIENCY OF A SINGLE PEROXISOMAL ENZYME,DISORDERS WITH DEFICIENCY OF A SINGLE PEROXISOMAL ENZYME
18886,1,,"DISORDER OF PEROXISOMAL ALPHA-, BETA- AND OMEGA-OXIDATION","DISORDER OF PEROXISOMAL ALPHA-, BETA- AND OMEGA-OXIDATION"
18874,1,,PEROXISOMAL BETA-OXIDATION DISORDER,PEROXISOMAL BETA-OXIDATION DISORDER
173953,1,,PONTOCEREBELLAR ATROPHY,PONTOCEREBELLAR ATROPHY
19453,1,Ataxia with Oculomotor Apraxia Type 2,,
189049,1,,DECREASED DISTAL TOUCH SENSE|DECREASED TOUCH SENSATION IN EXTREMITIES|IMPAIRED DISTAL TACTILE SENSATION,"['DECREASED DISTAL TOUCH SENSE', 'DECREASED TOUCH SENSATION IN EXTREMITIES', 'IMPAIRED DISTAL TACTILE SENSATION']"
174325,1,,DECREASED DISTAL VIBRATION SENSE|IMPAIRED DISTAL VIBRATION SENSATION,"['DECREASED DISTAL VIBRATION SENSE', 'IMPAIRED DISTAL VIBRATION SENSATION']"
70383,1,,INCREASED LEVELS OF ALPHA FETOPROTEIN|INCREASED SERUM ALPHA-FETOPROTEIN|SERUM ALPHA-FETOPROTEIN INCREASED|ALPHA FETOPROTEIN ABNORMAL|ELEVATED ALPHA-FETOPROTEIN,"['INCREASED LEVELS OF ALPHA FETOPROTEIN', 'INCREASED SERUM ALPHA-FETOPROTEIN', 'SERUM ALPHA-FETOPROTEIN INCREASED', 'ALPHA FETOPROTEIN ABNORMAL', 'ELEVATED ALPHA-FETOPROTEIN']"
85278,1,,VARIABLE SEVERITY|HIGHLY VARIABLE SEVERITY|VARIABLE EXPRESSIVITY,"['VARIABLE SEVERITY', 'HIGHLY VARIABLE SEVERITY', 'VARIABLE EXPRESSIVITY']"
205903,1,,"AMYOTROPHY OF DISTAL LIMB MUSCLES|DISTAL AMYOTROPHY, ESPECIALLY OF THE HANDS AND FEET|DISTAL LIMB MUSCLE ATROPHY|DISTAL MUSCLE ATROPHY|DISTAL MUSCLE ATROPHY, UPPER AND LOWER LIMBS|DISTAL MUSCLE DEGENERATION|DISTAL MUSCLE WASTING|DISTAL MUSCULAR ATROPHY|MUSCLE ATROPHY, DISTAL|DISTAL AMYOTROPHY","['AMYOTROPHY OF DISTAL LIMB MUSCLES', 'DISTAL AMYOTROPHY, ESPECIALLY OF THE HANDS AND FEET', 'DISTAL LIMB MUSCLE ATROPHY', 'DISTAL MUSCLE ATROPHY', 'DISTAL MUSCLE ATROPHY, UPPER AND LOWER LIMBS', 'DISTAL MUSCLE DEGENERATION', 'DISTAL MUSCLE WASTING', 'DISTAL MUSCULAR ATROPHY', 'MUSCLE ATROPHY, DISTAL', 'DISTAL AMYOTROPHY']"
167537,1,,DECREASED MOTOR NCV|DECREASED MOTOR NERVE CONDUCTION VELOCITIES|REDUCED MOTOR NERVE CONDUCTION VELOCITY|DECREASED MOTOR NERVE CONDUCTION VELOCITY,"['DECREASED MOTOR NCV', 'DECREASED MOTOR NERVE CONDUCTION VELOCITIES', 'REDUCED MOTOR NERVE CONDUCTION VELOCITY', 'DECREASED MOTOR NERVE CONDUCTION VELOCITY']"
148743,1,,"GAIT ATAXIA, PROGRESSIVE|PROGRESSIVE GAIT ATAXIA","['GAIT ATAXIA, PROGRESSIVE', 'PROGRESSIVE GAIT ATAXIA']"
64427,1,,"DISTAL LIMB MUSCLE WEAKNESS|DISTAL LIMB WEAKNESS|DISTAL MUSCULAR WEAKNESS|DISTAL PARESIS|MUSCLE WEAKNESS, DISTAL|MUSCLE WEAKNESS, DISTAL LIMBS, DUE TO NEURONOPATHY|WEAKNESS OF DISTAL MUSCLES|WEAKNESS OF OUTERMOST MUSCLES|DISTAL LIMB MUSCLE WEAKNESS DUE TO PERIPHERAL NEUROPATHY|DISTAL MUSCLE WEAKNESS","['DISTAL LIMB MUSCLE WEAKNESS', 'DISTAL LIMB WEAKNESS', 'DISTAL MUSCULAR WEAKNESS', 'DISTAL PARESIS', 'MUSCLE WEAKNESS, DISTAL', 'MUSCLE WEAKNESS, DISTAL LIMBS, DUE TO NEURONOPATHY', 'WEAKNESS OF DISTAL MUSCLES', 'WEAKNESS OF OUTERMOST MUSCLES', 'DISTAL LIMB MUSCLE WEAKNESS DUE TO PERIPHERAL NEUROPATHY', 'DISTAL MUSCLE WEAKNESS']"
132133,1,,ELEVATED BLOOD CREATINE PHOSPHOKINASE|ELEVATED CIRCULATING CREATINE PHOSPHOKINASE|ELEVATED CREATINE KINASE|ELEVATED SERUM CPK|ELEVATED SERUM CREATINE KINASE|ELEVATED SERUM CREATINE PHOSPHOKINASE|HIGH SERUM CREATINE KINASE|INCREASED CPK|INCREASED CREATINE KINASE|INCREASED CREATINE PHOSPHOKINASE|INCREASED SERUM CK|INCREASED SERUM CREATINE KINASE|INCREASED SERUM CREATINE PHOSPHOKINASE,"['ELEVATED BLOOD CREATINE PHOSPHOKINASE', 'ELEVATED CIRCULATING CREATINE PHOSPHOKINASE', 'ELEVATED CREATINE KINASE', 'ELEVATED SERUM CPK', 'ELEVATED SERUM CREATINE KINASE', 'ELEVATED SERUM CREATINE PHOSPHOKINASE', 'HIGH SERUM CREATINE KINASE', 'INCREASED CPK', 'INCREASED CREATINE KINASE', 'INCREASED CREATINE PHOSPHOKINASE', 'INCREASED SERUM CK', 'INCREASED SERUM CREATINE KINASE', 'INCREASED SERUM CREATINE PHOSPHOKINASE']"
161400,1,,ABSENT OR DECREASED DEEP TENDON REFLEXES|DECREASED DEEP TENDON REFLEXES|DECREASED TENDON REFLEXES|DECREASED TO ABSENT DEEP TENDON REFLEXES|DECREASED/ABSENT DEEP TENDON REFLEXES|DEPRESSED TENDON REFLEXES|DIMINISHED DEEP TENDON REFLEXES|DIMINISHED OR ABSENT DEEP TENDON REFLEXES|DIMINISHED OR ABSENT TENDON REFLEXES|HYPOACTIVE TO ABSENT DEEP TENDON REFLEXES|IMPAIRED TENDON REFLEXES|REDUCED/ABSENT DEEP TENDON REFLEXES|WEAK OR ABSENT DEEP TENDON REFLEXES|REDUCED TENDON REFLEXES,"['ABSENT OR DECREASED DEEP TENDON REFLEXES', 'DECREASED DEEP TENDON REFLEXES', 'DECREASED TENDON REFLEXES', 'DECREASED TO ABSENT DEEP TENDON REFLEXES', 'DECREASED/ABSENT DEEP TENDON REFLEXES', 'DEPRESSED TENDON REFLEXES', 'DIMINISHED DEEP TENDON REFLEXES', 'DIMINISHED OR ABSENT DEEP TENDON REFLEXES', 'DIMINISHED OR ABSENT TENDON REFLEXES', 'HYPOACTIVE TO ABSENT DEEP TENDON REFLEXES', 'IMPAIRED TENDON REFLEXES', 'REDUCED/ABSENT DEEP TENDON REFLEXES', 'WEAK OR ABSENT DEEP TENDON REFLEXES', 'REDUCED TENDON REFLEXES']"
110190,1,,OCULAR MOTOR APRAXIA|DEFECTIVE OR ABSENT HORIZONTAL VOLUNTARY EYE MOVEMENTS|OCULOMOTOR APRAXIA,"['OCULAR MOTOR APRAXIA', 'DEFECTIVE OR ABSENT HORIZONTAL VOLUNTARY EYE MOVEMENTS', 'OCULOMOTOR APRAXIA']"
183078,1,,ABNORMALITY OF PROPRIOCEPTION|IMPAIRED PROPRIOCEPTION,"['ABNORMALITY OF PROPRIOCEPTION', 'IMPAIRED PROPRIOCEPTION']"
169768,1,,AXONAL NEUROPATHY|AXONAL PERIPHERAL NEUROPATHY|PERIPHERAL AXONAL NEUROPATHY,"['AXONAL NEUROPATHY', 'AXONAL PERIPHERAL NEUROPATHY', 'PERIPHERAL AXONAL NEUROPATHY']"
149822,1,,CHRONIC SURAL AXONAL NEUROPATHY|CHRONIC AXONAL NEUROPATHY,"['CHRONIC SURAL AXONAL NEUROPATHY', 'CHRONIC AXONAL NEUROPATHY']"
128193,1,,"CONJUNCTIVAL TELANGIECTASES|SMALL DILATED BLOOD VESSELS NEAR MEMBRANE COVERING FRONT OF EYE AND EYELIDS|TELANGIECTASIA, CONJUNCTIVAL|CONJUNCTIVAL TELANGIECTASIA","['CONJUNCTIVAL TELANGIECTASES', 'SMALL DILATED BLOOD VESSELS NEAR MEMBRANE COVERING FRONT OF EYE AND EYELIDS', 'TELANGIECTASIA, CONJUNCTIVAL', 'CONJUNCTIVAL TELANGIECTASIA']"
129072,1,,MIXED POLYNEUROPATHY|NERVE DAMAGE CAUSING DECREASED FEELING AND MOVEMENT|SENSORIMOTOR PERIPHERAL NEUROPATHY|SENSORIMOTOR NEUROPATHY,"['MIXED POLYNEUROPATHY', 'NERVE DAMAGE CAUSING DECREASED FEELING AND MOVEMENT', 'SENSORIMOTOR PERIPHERAL NEUROPATHY', 'SENSORIMOTOR NEUROPATHY']"
100421,1,,LOW ALBUMIN|HYPOALBUMINAEMIA|LOW BLOOD ALBUMIN|HYPOALBUMINEMIA,"['LOW ALBUMIN', 'HYPOALBUMINAEMIA', 'LOW BLOOD ALBUMIN', 'HYPOALBUMINEMIA']"
114931,1,,HIGH CHOLESTEROL|ELEVATED SERUM CHOLESTEROL|ELEVATED TOTAL CHOLESTEROL|INCREASED TOTAL CHOLESTEROL|HYPERCHOLESTEROLEMIA,"['HIGH CHOLESTEROL', 'ELEVATED SERUM CHOLESTEROL', 'ELEVATED TOTAL CHOLESTEROL', 'INCREASED TOTAL CHOLESTEROL', 'HYPERCHOLESTEROLEMIA']"
5368760,1,,,
5369320,1,,,
5368770,1,,,
5368768,1,,,
5368766,1,,,
5368764,1,,,
5368762,1,,,
5369322,1,,,
5375151,1,,,
5381919,1,,,
5381921,1,,,
5388943,1,,,
5392021,1,,,
99212,1,,SPASTIC DIPLEGIA,SPASTIC DIPLEGIA
18397,1,GTPCH1-deficient DRD,,
83120,1,,ABNORMALITY OF THE SUBSTANTIA NIGRA,ABNORMALITY OF THE SUBSTANTIA NIGRA
72052,1,,DECREASED CSF HOMOVANILLIC ACID,DECREASED CSF HOMOVANILLIC ACID
78564,1,,BRISK LOWER EXTREMITY REFLEXES|HYPERREFLEXIA IN LOWER LIMBS|HYPERREFLEXIA IN THE LOWER LIMBS|INCREASED DEEP TENDON REFLEXES IN THE LOWER LIMBS|LEG HYPERREFLEXIA|OVERACTIVE LOWER LEG REFLEX|LOWER LIMB HYPERREFLEXIA,"['BRISK LOWER EXTREMITY REFLEXES', 'HYPERREFLEXIA IN LOWER LIMBS', 'HYPERREFLEXIA IN THE LOWER LIMBS', 'INCREASED DEEP TENDON REFLEXES IN THE LOWER LIMBS', 'LEG HYPERREFLEXIA', 'OVERACTIVE LOWER LEG REFLEX', 'LOWER LIMB HYPERREFLEXIA']"
79830,1,,TRANSIENT HYPERPHENYLALANINEMIA,TRANSIENT HYPERPHENYLALANINEMIA
158215,1,,RA|RHEUMATOID ARTHRITIS,"['RA', 'RHEUMATOID ARTHRITIS']"
106314,1,,PARESIS OF EXTENSOR MUSCLES OF THE BIG TOE,PARESIS OF EXTENSOR MUSCLES OF THE BIG TOE
94067,1,,"JOINT CONTRACTURES, PROGRESSIVE|PROGRESSIVE FLEXION CONTRACTURES","['JOINT CONTRACTURES, PROGRESSIVE', 'PROGRESSIVE FLEXION CONTRACTURES']"
2597543,1,,,
2595454,1,,,
2598391,1,,,
2594681,1,,,
2596774,1,,,
2598461,1,,,
5345312,1,,,
5345314,1,,,
5345316,1,,,
5345318,1,,,
5345320,1,,,
5345322,1,,,
5345324,1,,,
5345328,1,,,
5372965,1,,,
5372967,1,,,
6502,1,Infantile-onset ascending hereditary spastic paralysis,,
62662,1,,INVOLVEMENT OF THE CORTICOSPINAL PATHWAYS|ABNORMALITY OF THE CORTICOSPINAL TRACT,"['INVOLVEMENT OF THE CORTICOSPINAL PATHWAYS', 'ABNORMALITY OF THE CORTICOSPINAL TRACT']"
138068,1,,CHEWING DIFFICULTIES|CHEWING DIFFICULTY|DIFFICULTY CHEWING|IMPAIRED MASTICATION,"['CHEWING DIFFICULTIES', 'CHEWING DIFFICULTY', 'DIFFICULTY CHEWING', 'IMPAIRED MASTICATION']"
188804,1,,INFANTILE ONSET|ONSET IN FIRST YEAR OF LIFE|ONSET IN INFANCY,"['INFANTILE ONSET', 'ONSET IN FIRST YEAR OF LIFE', 'ONSET IN INFANCY']"
80482,1,,LOWER MOTOR NEURON DISEASE|LOWER MOTOR NEURON MANIFESTATIONS|LOWER MOTOR NEURON SIGNS|ABNORMAL LOWER MOTOR NEURON MORPHOLOGY,"['LOWER MOTOR NEURON DISEASE', 'LOWER MOTOR NEURON MANIFESTATIONS', 'LOWER MOTOR NEURON SIGNS', 'ABNORMAL LOWER MOTOR NEURON MORPHOLOGY']"
89243,1,,ACHILLES TENDON CONTRACTURES|CONTRACTURES OF THE ACHILLES TENDON|SHORTENING OF THE ACHILLES TENDON|TIGHT ACHILLES TENDON|ACHILLES TENDON CONTRACTURE,"['ACHILLES TENDON CONTRACTURES', 'CONTRACTURES OF THE ACHILLES TENDON', 'SHORTENING OF THE ACHILLES TENDON', 'TIGHT ACHILLES TENDON', 'ACHILLES TENDON CONTRACTURE']"
98686,1,,DELAY IN MOTOR DEVELOPMENT|DELAYED EARLY MOTOR MILESTONES|DELAYED MOTOR DEVELOPMENT|DELAYED MOTOR MILESTONES|LOCOMOTOR DELAY|MOTOR DEVELOPMENTAL DELAY|MOTOR DEVELOPMENTAL MILESTONES NOT ACHIEVED|MOTOR RETARDATION|RETARDED MOTOR DEVELOPMENT|NO DEVELOPMENT OF MOTOR MILESTONES|MOTOR DELAY,"['DELAY IN MOTOR DEVELOPMENT', 'DELAYED EARLY MOTOR MILESTONES', 'DELAYED MOTOR DEVELOPMENT', 'DELAYED MOTOR MILESTONES', 'LOCOMOTOR DELAY', 'MOTOR DEVELOPMENTAL DELAY', 'MOTOR DEVELOPMENTAL MILESTONES NOT ACHIEVED', 'MOTOR RETARDATION', 'RETARDED MOTOR DEVELOPMENT', 'NO DEVELOPMENT OF MOTOR MILESTONES', 'MOTOR DELAY']"
179402,1,,ABNORMALITY OF THE COUNTENANCE|ABNORMALITY OF THE PHYSIOGNOMY|ABNORMALITY OF THE VISAGE|DISORDER OF FACE|ABNORMAL FACE|ABNORMALITY OF THE FACE|FACIAL ABNORMALITY|DISORDER OF THE FACE|ANOMALY OF FACE|ANOMALY OF THE FACE|FACIAL ANOMALY,"['ABNORMALITY OF THE COUNTENANCE', 'ABNORMALITY OF THE PHYSIOGNOMY', 'ABNORMALITY OF THE VISAGE', 'DISORDER OF FACE', 'ABNORMAL FACE', 'ABNORMALITY OF THE FACE', 'FACIAL ABNORMALITY', 'DISORDER OF THE FACE', 'ANOMALY OF FACE', 'ANOMALY OF THE FACE', 'FACIAL ANOMALY']"
5382399,1,,,
5389545,1,,,
5389543,1,,,
5382405,1,,,
5382403,1,,,
5382401,1,,,
5389547,1,,,
5389551,1,,,
5389615,1,,,
5390051,1,,,
11197,1,Sydenham's chorea,,
185142,1,,ENDOCARDITIS,ENDOCARDITIS
168095,1,,REDNESS OF SKIN OR MUCOUS MEMBRANE|ERYTHEMA,"['REDNESS OF SKIN OR MUCOUS MEMBRANE', 'ERYTHEMA']"
101648,1,,INFECTED JOINT|SEPTIC ARTHRITIS,"['INFECTED JOINT', 'SEPTIC ARTHRITIS']"
123158,1,,BALLISMUS|HEMIBALLISMUS,"['BALLISMUS', 'HEMIBALLISMUS']"
179364,1,,FACIAL GRIMACING,['FACIAL GRIMACING']
