Id,properties._n_name,properties.n_name,modularity_class,
151736,,HYPERPROLACTINAEMIA|HYPERPROLACTINEMIA|PROLACTIN EXCESS|INCREASED CIRCULATING PROLACTIN CONCENTRATION,"['HYPERPROLACTINAEMIA', 'HYPERPROLACTINEMIA', 'PROLACTIN EXCESS', 'INCREASED CIRCULATING PROLACTIN CONCENTRATION']",14
208947,,EXCESSIVE HAIR GROWTH|INCREASED HAIR GROWTH ON BODY|HYPERTRICHOSIS,"['EXCESSIVE HAIR GROWTH', 'INCREASED HAIR GROWTH ON BODY', 'HYPERTRICHOSIS']",14
152770,,MENSTRUAL IRREGULARITY|MENSTRUAL IRREGULARITIES,"['MENSTRUAL IRREGULARITY', 'MENSTRUAL IRREGULARITIES']",14
81462,,GALACTORRHOEA|SPONTANEOUS MILK FLOW FROM BREAST|GALACTORRHEA,"['GALACTORRHOEA', 'SPONTANEOUS MILK FLOW FROM BREAST', 'GALACTORRHEA']",14
116178,,ELEVATED ALKALINE PHOSPHATASE|ELEVATED ALP|GREATLY ELEVATED ALKALINE PHOSPHATASE|HIGH SERUM ALKALINE PHOSPHATASE|HYPERPHOSPHATASEMIA|HYPERPHOSPHATASIA|INCREASED ALKALINE PHOSPHATASE|INCREASED SERUM ALKALINE PHOSPHATASE,"['ELEVATED ALKALINE PHOSPHATASE', 'ELEVATED ALP', 'GREATLY ELEVATED ALKALINE PHOSPHATASE', 'HIGH SERUM ALKALINE PHOSPHATASE', 'HYPERPHOSPHATASEMIA', 'HYPERPHOSPHATASIA', 'INCREASED ALKALINE PHOSPHATASE', 'INCREASED SERUM ALKALINE PHOSPHATASE']",14
5354798,,,,14
5354802,,,,14
5373239,,,,14
5354804,,,,14
5343604,,,,14
5354806,,,,14
5354800,,,,14
5343606,,,,14
5358086,,,,14
5373305,,,,14
140310,"nan, nan, nan, nan","AUTOSOMAL DOMINANT INHERITANCE|AUTOSOMAL DOMINANT, AUTOSOMAL DOMINANT|AUTOSOMAL DOMINANT FORM|AUTOSOMAL DOMINANT TYPE|AUTOSOMAL DOMINANT INHERITANCE, AUTOSOMAL DOMINANT, AUTOSOMAL DOMINANT INHERITANCE|AD - AUTOSOMAL DOMINANT|AUTOSOMAL DOMINANT|AUTOSOMAL DOMINANT FORM|AUTOSOMAL DOMINANT TYPE","['AUTOSOMAL DOMINANT INHERITANCE', 'AUTOSOMAL DOMINANT'], ['AUTOSOMAL DOMINANT', 'AUTOSOMAL DOMINANT FORM', 'AUTOSOMAL DOMINANT TYPE', 'AUTOSOMAL DOMINANT INHERITANCE'], AUTOSOMAL DOMINANT, ['AUTOSOMAL DOMINANT INHERITANCE', 'AD - AUTOSOMAL DOMINANT', 'AUTOSOMAL DOMINANT', 'AUTOSOMAL DOMINANT FORM', 'AUTOSOMAL DOMINANT TYPE']",14
98105,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","INCREASED DEEP TENDON REFLEXES|INCREASED REFLEXES|HYPERREFLEXIA, ABSENT REFLEXES|ABSENT DEEP TENDON REFLEXES|ABSENT TENDON REFLEXES|DEEP TENDON REFLEXES ABSENT|LOSS OF DEEP TENDON REFLEXES|AREFLEXIA, HYPERREFLEXIA, INCREASED TENDON REFLEX, INCREASED REFLEXES, HRX|HYPERREFLEXIA, HYPERRFLEXIA, HYPERREFLEXIA, INCREASED DEEP TENDON REFLEXES, ABNORMAL DEEP TENDON REFLEX|ABNORMAL REFLEX|ABNORMAL REFLEXES|ABSENT REFLEX|BULBOCAVERNOSUS REFLEX, DECREASED|BULBOCAVERNOUSUS REFLEX ABSENT|DECREASED BULBOCAVERNOSUS REFLEX|DECREASED REFLEX|HOFFMAN'S REFLEX|HYPERREFLEXIA|HYPOREFLEXIA|PALMO MENTAL REFLEX|PALMO-MENTAL REFLEX|PENDULAR REFLEX|REFLEX ABSENT, BULBOCAVERNOUSUS|REFLEX, ABSENT|REFLEX, ACOUSTIC, ABNORMAL|REFLEX, ANAL, ABSENT|REFLEX, ANAL, DECREASED|REFLEX, ANKLE, ABNORMAL|REFLEX, ANKLE, ABSENT|REFLEX, ANKLE, DECREASED|REFLEX, BICEPS, ABNORMAL|REFLEX, BICEPS, ABSENT|REFLEX, BICEPS, DECREASED|REFLEX, CORNEAL, ABSENT|REFLEX, CORNEAL, DECREASED|REFLEX, DECREASED|REFLEX, DECREASED BULBOCAVERNOSUS|REFLEX, DEEP TENDON, ABNORMAL|REFLEX, DEEP TENDON, ABSENT|REFLEX, GAG, ABSENT|REFLEX, GAG, DECREASED|REFLEX, HOFFMAN'S|REFLEX, KNEE, ABNORMAL|REFLEX, KNEE, DECREASED|REFLEX, MORO, ASYMMETRIC|REFLEX, PALMO-MENTAL|REFLEX, PENDULAR|REFLEX, TRICEPS, ABNORMAL|REFLEX, TRICEPS, ABSENT|REFLEX, TRICEPS, DECREASED|REFLEXES, ABNORMAL|REFLEX, ABNORMAL, HYPERREFLEXIA|EXAGGERATION OF THE DEEP REFLEXES|HRX|HYPERREFLEXIA (DISEASE)|HYPERRFLEXIA|INCREASED DEEP TENDON REFLEXES|INCREASED REFLEXES|INCREASED TENDON REFLEX|INCREASED TENDON REFLEXES, DECREASED REFLEX RESPONSE|DECREASED REFLEXES|HYPOREFLEXIA","['INCREASED DEEP TENDON REFLEXES', 'INCREASED REFLEXES', 'HYPERREFLEXIA'], ['ABSENT REFLEXES', 'ABSENT DEEP TENDON REFLEXES', 'ABSENT TENDON REFLEXES', 'DEEP TENDON REFLEXES ABSENT', 'LOSS OF DEEP TENDON REFLEXES', 'AREFLEXIA'], HYPERREFLEXIA, INCREASED TENDON REFLEX, INCREASED REFLEXES, ['HRX', 'HYPERREFLEXIA'], HYPERRFLEXIA, HYPERREFLEXIA, INCREASED DEEP TENDON REFLEXES, ['ABNORMAL DEEP TENDON REFLEX', 'ABNORMAL REFLEX', 'ABNORMAL REFLEXES', 'ABSENT REFLEX', 'BULBOCAVERNOSUS REFLEX, DECREASED', 'BULBOCAVERNOUSUS REFLEX ABSENT', 'DECREASED BULBOCAVERNOSUS REFLEX', 'DECREASED REFLEX', ""HOFFMAN'S REFLEX"", 'HYPERREFLEXIA', 'HYPOREFLEXIA', 'PALMO MENTAL REFLEX', 'PALMO-MENTAL REFLEX', 'PENDULAR REFLEX', 'REFLEX ABSENT, BULBOCAVERNOUSUS', 'REFLEX, ABSENT', 'REFLEX, ACOUSTIC, ABNORMAL', 'REFLEX, ANAL, ABSENT', 'REFLEX, ANAL, DECREASED', 'REFLEX, ANKLE, ABNORMAL', 'REFLEX, ANKLE, ABSENT', 'REFLEX, ANKLE, DECREASED', 'REFLEX, BICEPS, ABNORMAL', 'REFLEX, BICEPS, ABSENT', 'REFLEX, BICEPS, DECREASED', 'REFLEX, CORNEAL, ABSENT', 'REFLEX, CORNEAL, DECREASED', 'REFLEX, DECREASED', 'REFLEX, DECREASED BULBOCAVERNOSUS', 'REFLEX, DEEP TENDON, ABNORMAL', 'REFLEX, DEEP TENDON, ABSENT', 'REFLEX, GAG, ABSENT', 'REFLEX, GAG, DECREASED', ""REFLEX, HOFFMAN'S"", 'REFLEX, KNEE, ABNORMAL', 'REFLEX, KNEE, DECREASED', 'REFLEX, MORO, ASYMMETRIC', 'REFLEX, PALMO-MENTAL', 'REFLEX, PENDULAR', 'REFLEX, TRICEPS, ABNORMAL', 'REFLEX, TRICEPS, ABSENT', 'REFLEX, TRICEPS, DECREASED', 'REFLEXES, ABNORMAL', 'REFLEX, ABNORMAL'], ['HYPERREFLEXIA', 'EXAGGERATION OF THE DEEP REFLEXES', 'HRX', 'HYPERREFLEXIA (DISEASE)', 'HYPERRFLEXIA', 'INCREASED DEEP TENDON REFLEXES', 'INCREASED REFLEXES', 'INCREASED TENDON REFLEX', 'INCREASED TENDON REFLEXES'], ['DECREASED REFLEX RESPONSE', 'DECREASED REFLEXES', 'HYPOREFLEXIA']",14
13849,"Spastic paraplegia 10, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","nan, SPASTIC PARAPLEGIA 10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA|SPG10, AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10|SPG10|HEREDITARY SPASTIC PARAPLEGIA 10, SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY|SPG10|SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT, AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10, PARAPARESIA ESPÁSTICA AUTOSÓMICA DOMINANTE TIPO 10, HEREDITARY SPASTIC PARAPLEGIA 10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10|HEREDITARY SPASTIC PARAPLEGIA CAUSED BY MUTATION IN KIF5A|HEREDITARY SPASTIC PARAPLEGIA TYPE 10|KIF5A HEREDITARY SPASTIC PARAPLEGIA|SPASTIC PARAPLEGIA 10|SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY|SPASTIC PARAPLEGIA 10 WITH PERIPHERAL NEUROPATHY|SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT|SPG10, AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA|SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT, AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 25|KIF5A|KINESIN, HEAVY CHAIN, NEURON-SPECIFIC|MYOCLONUS, INTRACTABLE, NEONATAL|NKHC|SPASTIC PARAPLEGIA 10|SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY|SPASTIC PARAPLEGIA 10 WITH PERIPHERAL NEUROPATHY|KINESIN FAMILY MEMBER 5A, D12S1889|MY050|NKHC|SPG10|KIF5A, SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT, AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10|HEREDITARY SPASTIC PARAPLEGIA CAUSED BY MUTATION IN KIF5A|HEREDITARY SPASTIC PARAPLEGIA TYPE 10|KIF5A HEREDITARY SPASTIC PARAPLEGIA|SPG10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA|SPASTIC PARAPLEGIA 10|SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY|SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT|SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10|HEREDITARY SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10|HEREDITARY SPASTIC PARAPLEGIA 10|HEREDITARY SPASTIC PARAPLEGIA CAUSED BY MUTATION IN KIF5A|HEREDITARY SPASTIC PARAPLEGIA TYPE 10|KIF5A HEREDITARY SPASTIC PARAPLEGIA|SPG10|AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA|SPASTIC PARAPLEGIA 10|SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY|SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT|SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10, SPASTIC PARAPLEGIA 10","nan, ['SPASTIC PARAPLEGIA 10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA', 'SPG10'], ['AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10', 'SPG10', 'HEREDITARY SPASTIC PARAPLEGIA 10'], ['SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY', 'SPG10', 'SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT'], AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10, PARAPARESIA ESPÁSTICA AUTOSÓMICA DOMINANTE TIPO 10, ['HEREDITARY SPASTIC PARAPLEGIA 10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10', 'HEREDITARY SPASTIC PARAPLEGIA CAUSED BY MUTATION IN KIF5A', 'HEREDITARY SPASTIC PARAPLEGIA TYPE 10', 'KIF5A HEREDITARY SPASTIC PARAPLEGIA', 'SPASTIC PARAPLEGIA 10', 'SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY', 'SPASTIC PARAPLEGIA 10 WITH PERIPHERAL NEUROPATHY', 'SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT', 'SPG10'], ['AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA', 'SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT'], ['AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 25', 'KIF5A', 'KINESIN, HEAVY CHAIN, NEURON-SPECIFIC', 'MYOCLONUS, INTRACTABLE, NEONATAL', 'NKHC', 'SPASTIC PARAPLEGIA 10', 'SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY', 'SPASTIC PARAPLEGIA 10 WITH PERIPHERAL NEUROPATHY', 'KINESIN FAMILY MEMBER 5A'], ['D12S1889', 'MY050', 'NKHC', 'SPG10', 'KIF5A'], SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT, ['AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10', 'HEREDITARY SPASTIC PARAPLEGIA CAUSED BY MUTATION IN KIF5A', 'HEREDITARY SPASTIC PARAPLEGIA TYPE 10', 'KIF5A HEREDITARY SPASTIC PARAPLEGIA', 'SPG10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA', 'SPASTIC PARAPLEGIA 10', 'SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY', 'SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT', 'SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10', 'HEREDITARY SPASTIC PARAPLEGIA 10'], ['AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA 10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA TYPE 10', 'HEREDITARY SPASTIC PARAPLEGIA 10', 'HEREDITARY SPASTIC PARAPLEGIA CAUSED BY MUTATION IN KIF5A', 'HEREDITARY SPASTIC PARAPLEGIA TYPE 10', 'KIF5A HEREDITARY SPASTIC PARAPLEGIA', 'SPG10', 'AUTOSOMAL DOMINANT SPASTIC PARAPLEGIA', 'SPASTIC PARAPLEGIA 10', 'SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY', 'SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT', 'SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10'], SPASTIC PARAPLEGIA 10",14
204885,"nan, nan, nan, nan, nan, nan, nan, nan","DISTAL SENSORY LOSS, UPPER AND LOWER LIMBS, DECREASED DISTAL SENSATION|DECREASED SENSATION IN EXTREMITIES|DISTAL SENSATION LOSS|DISTAL SENSORY IMPAIRMENT IN LOWER LIMBS|DISTAL SENSORY IMPAIRMENT OF THE LOWER EXTREMITIES|DISTAL SENSORY LOSS|DISTAL SENSORY LOSS, UPPER AND LOWER LIMBS|LOSS OF DISTAL SENSATION|DISTAL SENSORY IMPAIRMENT, DISTAL SENSORY IMPAIRMENT OF THE LOWER EXTREMITIES, DISTAL SENSORY IMPAIRMENT, DISTAL SENSORY LOSS, LOSS OF DISTAL SENSATION, DISTAL SENSORY IMPAIRMENT IN LOWER LIMBS, DISTAL SENSORY IMPAIRMENT|DECREASED DISTAL SENSATION|DECREASED SENSATION IN EXTREMITIES|DISTAL SENSATION LOSS|DISTAL SENSORY IMPAIRMENT IN LOWER LIMBS|DISTAL SENSORY IMPAIRMENT OF THE LOWER EXTREMITIES|DISTAL SENSORY LOSS|DISTAL SENSORY LOSS, UPPER AND LOWER LIMBS|LOSS OF DISTAL SENSATION","DISTAL SENSORY LOSS, UPPER AND LOWER LIMBS, ['DECREASED DISTAL SENSATION', 'DECREASED SENSATION IN EXTREMITIES', 'DISTAL SENSATION LOSS', 'DISTAL SENSORY IMPAIRMENT IN LOWER LIMBS', 'DISTAL SENSORY IMPAIRMENT OF THE LOWER EXTREMITIES', 'DISTAL SENSORY LOSS', 'DISTAL SENSORY LOSS, UPPER AND LOWER LIMBS', 'LOSS OF DISTAL SENSATION', 'DISTAL SENSORY IMPAIRMENT'], DISTAL SENSORY IMPAIRMENT OF THE LOWER EXTREMITIES, DISTAL SENSORY IMPAIRMENT, DISTAL SENSORY LOSS, LOSS OF DISTAL SENSATION, DISTAL SENSORY IMPAIRMENT IN LOWER LIMBS, ['DISTAL SENSORY IMPAIRMENT', 'DECREASED DISTAL SENSATION', 'DECREASED SENSATION IN EXTREMITIES', 'DISTAL SENSATION LOSS', 'DISTAL SENSORY IMPAIRMENT IN LOWER LIMBS', 'DISTAL SENSORY IMPAIRMENT OF THE LOWER EXTREMITIES', 'DISTAL SENSORY LOSS', 'DISTAL SENSORY LOSS, UPPER AND LOWER LIMBS', 'LOSS OF DISTAL SENSATION']",14
194275,"nan, nan","KNEE CLONUS|PATELLAR CLONUS, PATELLAR CLONUS|KNEE CLONUS","['KNEE CLONUS', 'PATELLAR CLONUS'], ['PATELLAR CLONUS', 'KNEE CLONUS']",14
194294,"nan, nan, nan","ANKLE CLONUS, ABNORMAL RHYTHMIC MOVEMENTS OF ANKLE|ANKLE CLONUS, ANKLE CLONUS|ABNORMAL RHYTHMIC MOVEMENTS OF ANKLE|FOOT CLONUS","ANKLE CLONUS, ['ABNORMAL RHYTHMIC MOVEMENTS OF ANKLE', 'ANKLE CLONUS'], ['ANKLE CLONUS', 'ABNORMAL RHYTHMIC MOVEMENTS OF ANKLE', 'FOOT CLONUS']",14
170345,"nan, nan, nan, nan, nan, nan, nan, nan","BABINSKI SIGN|BABINSKI'S PHENOMENON|BABINSKI'S REFLEX|BABINSKI'S SIGN, EXTENSOR PLANTAR REFLEXES|EXTENSOR PLANTAR RESPONSE|EXTENSOR PLANTAR RESPONSES|BABINSKI SIGN, EXTENSOR PLANTAR RESPONSES, EXTENSOR PLANTAR RESPONSE, POSITIVE BABINSKI SIGN, BABINSKI SIGN, BABINSKI REFLEX|BABINSKI REFLEXES|BABINSKI SIGN|BABINSKI SIGN ABSENT|BABINSKI SIGN NEGATIVE|BABINSKI SIGN POSITIVE|BABINSKI'S REFLEX|BABINSKI'S SIGN|EXTENSOR PLANTAR REFLEX|EXTENSOR PLANTAR RESPONSE|GREAT TOE PARADOXICAL EXTENSOR REFLEX|PARADOXICAL EXTENSOR REFLEX, GREAT TOE|REFLEX, BABINSKI'S|REFLEXES, BABINSKI|REFLEX, BABINSKI, BABINSKI SIGN|BABINSKI REFLEX|BABINSKI REFLEXES|BABINSKI SIGN POSITIVE|BABINSKI'S PHENOMENON|BABINSKI'S REFLEX|BABINSKI'S SIGN|EXTENSOR PLANTAR REFLEX|EXTENSOR PLANTAR REFLEXES|EXTENSOR PLANTAR RESPONSE|EXTENSOR PLANTAR RESPONSE FINDING|EXTENSOR PLANTAR RESPONSES|GREAT TOE PARADOXICAL EXTENSOR REFLEX|PARADOXICAL EXTENSOR REFLEX, GREAT TOE|POSITIVE BABINSKI SIGN|REFLEX, BABINSKI|REFLEX, BABINSKI'S|REFLEXES, BABINSKI|UPGOING PLANTAR REFLEXES","['BABINSKI SIGN', ""BABINSKI'S PHENOMENON"", ""BABINSKI'S REFLEX"", ""BABINSKI'S SIGN""], ['EXTENSOR PLANTAR REFLEXES', 'EXTENSOR PLANTAR RESPONSE', 'EXTENSOR PLANTAR RESPONSES', 'BABINSKI SIGN'], EXTENSOR PLANTAR RESPONSES, EXTENSOR PLANTAR RESPONSE, POSITIVE BABINSKI SIGN, BABINSKI SIGN, ['BABINSKI REFLEX', 'BABINSKI REFLEXES', 'BABINSKI SIGN', 'BABINSKI SIGN ABSENT', 'BABINSKI SIGN NEGATIVE', 'BABINSKI SIGN POSITIVE', ""BABINSKI'S REFLEX"", ""BABINSKI'S SIGN"", 'EXTENSOR PLANTAR REFLEX', 'EXTENSOR PLANTAR RESPONSE', 'GREAT TOE PARADOXICAL EXTENSOR REFLEX', 'PARADOXICAL EXTENSOR REFLEX, GREAT TOE', ""REFLEX, BABINSKI'S"", 'REFLEXES, BABINSKI', 'REFLEX, BABINSKI'], ['BABINSKI SIGN', 'BABINSKI REFLEX', 'BABINSKI REFLEXES', 'BABINSKI SIGN POSITIVE', ""BABINSKI'S PHENOMENON"", ""BABINSKI'S REFLEX"", ""BABINSKI'S SIGN"", 'EXTENSOR PLANTAR REFLEX', 'EXTENSOR PLANTAR REFLEXES', 'EXTENSOR PLANTAR RESPONSE', 'EXTENSOR PLANTAR RESPONSE FINDING', 'EXTENSOR PLANTAR RESPONSES', 'GREAT TOE PARADOXICAL EXTENSOR REFLEX', 'PARADOXICAL EXTENSOR REFLEX, GREAT TOE', 'POSITIVE BABINSKI SIGN', 'REFLEX, BABINSKI', ""REFLEX, BABINSKI'S"", 'REFLEXES, BABINSKI', 'UPGOING PLANTAR REFLEXES']",14
29771,"nan, nan, nan, nan, nan, nan, nan, nan, nan","SCOLIOSIS|CURVATURE OF SPINE|CURVED SPINE|SCOLIOSES|SCOLIOSIS DEFORMITY OF SPINE, CURVATURE OF SPINE|CURVED SPINE|ABNORMAL CURVING OF THE SPINE|SCOLIOSIS, SCOLIOSIS, SCOLIOSIS, KYPHOSCOLIOSIS|SCOLIOSIS, SCOLIOSIS, SCOLIOSES|SCOLIOSIS, SCOLIOSIS, SCOLIOSIS, UNSPECIFIED","['SCOLIOSIS', 'CURVATURE OF SPINE', 'CURVED SPINE', 'SCOLIOSES', 'SCOLIOSIS DEFORMITY OF SPINE'], ['CURVATURE OF SPINE', 'CURVED SPINE', 'ABNORMAL CURVING OF THE SPINE', 'SCOLIOSIS'], SCOLIOSIS, SCOLIOSIS, ['KYPHOSCOLIOSIS', 'SCOLIOSIS'], SCOLIOSIS, ['SCOLIOSES', 'SCOLIOSIS'], SCOLIOSIS, SCOLIOSIS, UNSPECIFIED",14
